PomBase:SPAC212.08c	UniProtKB:Q9HGP7
PomBase:SPBC713.10	UniProtKB:Q9C1W5
PomBase:SPBC713.11c	UniProtKB:Q9C1W4
PomBase:SPBC216.01c	UniProtKB:Q9UTV1
PomBase:SPBC216.01c	UniProtKB:Q9Y7J8
PomBase:SPBC216.02	UniProtKB:Q9Y7J9
PomBase:SPBC216.04c	UniProtKB:Q9Y7K1
PomBase:SPBC216.05	UniProtKB:Q02099
PomBase:SPBC216.07c	UniProtKB:Q9Y7K2
PomBase:SPBC646.02	UniProtKB:O94508
PomBase:SPBC646.03	UniProtKB:O94509
PomBase:SPBC646.08c	UniProtKB:O94512
PomBase:SPBC646.09c	UniProtKB:O94513
PomBase:SPBC646.10c	UniProtKB:O94514
PomBase:SPBC646.15c	UniProtKB:O94516
PomBase:SPBC646.16	UniProtKB:O94517
PomBase:SPBP35G2.02	UniProtKB:Q9P7A1
PomBase:SPBP35G2.03c	UniProtKB:Q9P7A0
PomBase:SPBP35G2.04c	UniProtKB:Q9P799
PomBase:SPBP35G2.06c	UniProtKB:Q9P797
PomBase:SPBP35G2.09	UniProtKB:Q9P794
PomBase:SPBP35G2.10	UniProtKB:Q9P793
PomBase:SPBP35G2.11c	UniProtKB:Q9P792
PomBase:SPBP35G2.13c	UniProtKB:Q9P790
PomBase:SPBP35G2.14	UniProtKB:Q9P789
PomBase:SPBC146.01	UniProtKB:Q9Y808
PomBase:SPBC146.02	UniProtKB:Q9Y807
PomBase:SPBC146.03c	UniProtKB:Q9UTW4
PomBase:SPBC146.03c	UniProtKB:P41004
PomBase:SPBC146.08c	UniProtKB:Q9Y803
PomBase:SPBC146.11c	UniProtKB:Q9Y800
PomBase:SPBC337.03	UniProtKB:O74814
PomBase:SPBC337.04	UniProtKB:O74815
PomBase:SPBC337.07c	UniProtKB:O74818
PomBase:SPBC337.08c	UniProtKB:O74819
PomBase:SPBC337.08c	UniProtKB:P0CG72
PomBase:SPBC337.09	UniProtKB:O74820
PomBase:SPBC337.12	UniProtKB:O74823
PomBase:SPBC337.13c	UniProtKB:O74824
PomBase:SPBC337.14	UniProtKB:O74825
PomBase:SPBC337.15c	UniProtKB:O74826
PomBase:SPBC1734.04	UniProtKB:O74745
PomBase:SPBC1734.05c	UniProtKB:O74746
PomBase:SPBC1734.07c	UniProtKB:O74748
PomBase:SPBC1734.08	UniProtKB:O74749
PomBase:SPBC1734.11	UniProtKB:O74752
PomBase:SPBC1734.12c	UniProtKB:Q9USD4
PomBase:SPBC1734.13	UniProtKB:O74754
PomBase:SPBC1734.14c	UniProtKB:P08463
PomBase:SPBC1709.04c	UniProtKB:O74729
PomBase:SPBC1709.20	UniProtKB:Q7Z996
PomBase:SPBC1709.08	UniProtKB:O74733
PomBase:SPBC1709.11c	UniProtKB:O74736
PomBase:SPBC1709.14	UniProtKB:O74739
PomBase:SPBC1709.16c	UniProtKB:O74741
PomBase:SPBC1709.18	UniProtKB:O74743
PomBase:SPBC1709.19c	UniProtKB:Q9UUB8
PomBase:SPBC409.04c	UniProtKB:Q9Y738
PomBase:SPBC409.06	UniProtKB:Q9UUB6
PomBase:SPBC409.07c	UniProtKB:P33886
PomBase:SPBC409.11	UniProtKB:Q9UUB3
PomBase:SPBC409.12c	UniProtKB:Q0E7J7
PomBase:SPBC1306.01c	UniProtKB:Q9USZ1
PomBase:SPBC1306.02	UniProtKB:Q9USZ0
PomBase:SPBC4.01	UniProtKB:Q9USS9
PomBase:SPBC4.02c	UniProtKB:Q9USS8
PomBase:SPBC4.03c	UniProtKB:Q9USS7
PomBase:SPBC4.06	UniProtKB:Q9USS6
PomBase:SPBC4.07c	UniProtKB:P36612
PomBase:SPBC725.01	UniProtKB:O94320
PomBase:SPBC725.02	UniProtKB:O94321
PomBase:SPBC725.04	UniProtKB:Q9Y7M1
PomBase:SPBC725.06c	UniProtKB:O94324
PomBase:SPBC725.08	UniProtKB:O94326
PomBase:SPBC725.09c	UniProtKB:Q9UUM7
PomBase:SPBC725.10	UniProtKB:O94327
PomBase:SPBC725.11c	UniProtKB:P24488
PomBase:SPBC725.12	UniProtKB:O94328
PomBase:SPBC725.13c	UniProtKB:O94329
PomBase:SPBC725.15	UniProtKB:O94331
PomBase:SPBC725.16	UniProtKB:P33520
PomBase:SPBC651.01c	UniProtKB:O94659
PomBase:SPBC651.02	UniProtKB:O94660
PomBase:SPBC651.03c	UniProtKB:O94661
PomBase:SPBC651.04	UniProtKB:O94662
PomBase:SPBC651.07	UniProtKB:O94664
PomBase:SPBC651.08c	UniProtKB:O94666
PomBase:SPBC651.11c	UniProtKB:O94669
PomBase:SPBC31A8.01c	UniProtKB:P53694
PomBase:SPBC3D6.15	UniProtKB:Q9UU26
PomBase:SPBC3D6.15	UniProtKB:O74172
PomBase:SPBC3D6.05	UniProtKB:P87170
PomBase:SPBC3D6.10	UniProtKB:P87175
PomBase:SPBC3D6.11c	UniProtKB:P87176
PomBase:SPBC3D6.12	UniProtKB:P87177
PomBase:SPBC30B4.01c	UniProtKB:P87179
PomBase:SPBC30B4.02c	UniProtKB:O74363
PomBase:SPBC30B4.04c	UniProtKB:O74365
PomBase:SPBC30B4.05	UniProtKB:Q9USC9
PomBase:SPBC30B4.05	UniProtKB:O13671
PomBase:SPBC30B4.07c	UniProtKB:O74366
PomBase:SPBC30B4.08	UniProtKB:Q08I43
PomBase:SPBC27B12.02	UniProtKB:O42995
PomBase:SPBC27B12.03c	UniProtKB:O13666
PomBase:SPBC27B12.05	UniProtKB:O42996
PomBase:SPBC27B12.08	UniProtKB:O42998
PomBase:SPBC27B12.10c	UniProtKB:O42999
PomBase:SPBC8D2.02c	UniProtKB:O43073
PomBase:SPBC8D2.15	UniProtKB:O13642
PomBase:SPBC8D2.18c	UniProtKB:O13639
PomBase:SPBC8D2.20c	UniProtKB:O13637
PomBase:SPBC17A3.03c	UniProtKB:Q9UUF3
PomBase:SPBC17A3.04c	UniProtKB:Q9UUF2
PomBase:SPBC17A3.05c	UniProtKB:O13633
PomBase:SPBC17A3.07	UniProtKB:P78965
PomBase:SPBC17A3.09c	UniProtKB:O13629
PomBase:SPBC691.03c	UniProtKB:Q9C0W7
PomBase:SPBC691.05c	UniProtKB:O13621
PomBase:SPBP22H7.04	UniProtKB:Q9C0W3
PomBase:SPBP22H7.05c	UniProtKB:Q9C0W2
PomBase:SPBP22H7.06	UniProtKB:Q9C0W1
PomBase:SPBP22H7.08	UniProtKB:O13614
PomBase:SPBP22H7.09c	UniProtKB:Q9C0W0
PomBase:SPBC32H8.02c	UniProtKB:O13612
PomBase:SPBC32H8.04c	UniProtKB:O13610
PomBase:SPBC32H8.03	UniProtKB:P54069
PomBase:SPBC32H8.05	UniProtKB:Q96WW3
PomBase:SPBC32H8.06	UniProtKB:Q96WW2
PomBase:SPBC32H8.07	UniProtKB:Q10282
PomBase:SPBC32H8.11	UniProtKB:O13606
PomBase:SPBC32H8.13c	UniProtKB:Q9UUL4
PomBase:SPBC11B10.01	UniProtKB:Q96WW6
PomBase:SPBC11B10.02c	UniProtKB:P36605
PomBase:SPBC11B10.03	UniProtKB:Q96WW5
PomBase:SPBC11B10.04c	UniProtKB:O13602
PomBase:SPBC11B10.05c	UniProtKB:O13601
PomBase:SPBC11B10.06	UniProtKB:O13600
PomBase:SPBC11B10.07c	UniProtKB:Q96WW4
PomBase:SPBC1215.01	UniProtKB:Q9Y810
PomBase:SPBC1215.02c	UniProtKB:Q9Y809
PomBase:SPBC83.01	UniProtKB:O94685
PomBase:SPBC83.09c	UniProtKB:O94693
PomBase:SPBC83.11	UniProtKB:O94695
PomBase:SPBC83.14c	UniProtKB:O94697
PomBase:SPBC83.15	UniProtKB:O94698
PomBase:SPBC83.16c	UniProtKB:O94699
PomBase:SPBC83.17	UniProtKB:O94700
PomBase:SPBC29B5.03c	UniProtKB:P78946
PomBase:SPBC27.02c	UniProtKB:P78949
PomBase:SPBC27.02c	UniProtKB:Q9P6S5
PomBase:SPBC27.04	UniProtKB:Q9P6S3
PomBase:SPBC28F2.04c	UniProtKB:Q9USV3
PomBase:SPBC28F2.06c	UniProtKB:Q92377
PomBase:SPBC28F2.09	UniProtKB:Q9USU9
PomBase:SPBC28F2.11	UniProtKB:Q9USU7
PomBase:SPBC28F2.12	UniProtKB:P36594
PomBase:SPBC21B10.13c	UniProtKB:P40923
PomBase:SPBC21B10.12	UniProtKB:P40385
PomBase:SPBC21B10.06c	UniProtKB:Q9USW2
PomBase:SPBC21B10.05c	UniProtKB:O74184
PomBase:SPBC19C2.02	UniProtKB:P40999
PomBase:SPBC19C2.03	UniProtKB:P48011
PomBase:SPBC19C2.05	UniProtKB:P08092
PomBase:SPBC19C2.09	UniProtKB:Q9UUD1
PomBase:SPBC19C2.10	UniProtKB:Q9UUD0
PomBase:SPBC19C2.12	UniProtKB:Q9UUC8
PomBase:SPBC19C2.13c	UniProtKB:Q9UUC7
PomBase:SPBC19C2.14	UniProtKB:Q9UUC6
PomBase:SPBC19C2.15c	UniProtKB:O14346
PomBase:SPBC2F12.15c	UniProtKB:O14345
PomBase:SPBC2F12.10	UniProtKB:O14341
PomBase:SPBC2F12.09c	UniProtKB:P78962
PomBase:SPBC2F12.07c	UniProtKB:P08093
PomBase:SPBC2F12.05c	UniProtKB:O14340
PomBase:SPBC2F12.02c	UniProtKB:O14337
PomBase:SPBC1D7.04	UniProtKB:Q09330
PomBase:SPBC11G11.02c	UniProtKB:Q9USZ7
PomBase:SPBC11G11.03	UniProtKB:Q9USZ6
PomBase:SPBC11G11.06c	UniProtKB:Q9USZ3
PomBase:SPBC11G11.05	UniProtKB:Q9USZ4
PomBase:SPBC11G11.07	UniProtKB:Q9USZ2
PomBase:SPBC18H10.02	UniProtKB:O60135
PomBase:SPBC18H10.05	UniProtKB:O60136
PomBase:SPBC18H10.11c	UniProtKB:O60142
PomBase:SPBC18H10.14	UniProtKB:Q9URK4
PomBase:SPBC18H10.14	UniProtKB:O60144
PomBase:SPBC18H10.15	UniProtKB:O60145
PomBase:SPBC18H10.16	UniProtKB:O60146
PomBase:SPBC18H10.20c	UniProtKB:O60150
PomBase:SPBC9B6.03	UniProtKB:Q9Y7M3
PomBase:SPBC9B6.04c	UniProtKB:Q9Y700
PomBase:SPBC9B6.06	UniProtKB:Q9Y7M5
PomBase:SPBC9B6.11c	UniProtKB:Q9Y7M8
PomBase:SPBC28E12.04	UniProtKB:O74361
PomBase:SPBC3H7.14	UniProtKB:O74389
PomBase:SPBC3H7.10	UniProtKB:O74385
PomBase:SPBC3H7.08c	UniProtKB:O74383
PomBase:SPBC3H7.07c	UniProtKB:O74382
PomBase:SPBC3H7.06c	UniProtKB:O74381
PomBase:SPBC3H7.03c	UniProtKB:O74378
PomBase:SPBP16F5.02	UniProtKB:P36613
PomBase:SPBP16F5.05c	UniProtKB:Q9HFE7
PomBase:SPBP16F5.06	UniProtKB:Q9HFE6
PomBase:SPBP16F5.08c	UniProtKB:Q9HFE4
PomBase:SPBC16E9.03c	UniProtKB:O14320
PomBase:SPBC16E9.06c	UniProtKB:Q12238
PomBase:SPBC16E9.07	UniProtKB:O14322
PomBase:SPBC16E9.10c	UniProtKB:O14325
PomBase:SPBC16E9.12c	UniProtKB:O14327
PomBase:SPBC16E9.13	UniProtKB:O14328
PomBase:SPBC16E9.14c	UniProtKB:O14329
PomBase:SPBC16E9.16c	UniProtKB:A9ZLL8
PomBase:SPBC16E9.18	UniProtKB:O14333
PomBase:SPBC1A4.01	UniProtKB:O42971
PomBase:SPBC1A4.03c	UniProtKB:P08096
PomBase:SPBC1A4.05	UniProtKB:O74338
PomBase:SPBC1A4.06c	UniProtKB:O74339
PomBase:SPBC1A4.07c	UniProtKB:O74340
PomBase:SPBP23A10.04	UniProtKB:Q874R3
PomBase:SPBP23A10.07	UniProtKB:Q9P7X8
PomBase:SPBP23A10.09	UniProtKB:Q9P7X6
PomBase:SPBP23A10.10	UniProtKB:Q9P7X5
PomBase:SPBP23A10.11c	UniProtKB:Q9P7X4
PomBase:SPBP23A10.12	UniProtKB:Q9P7X3
PomBase:SPBP23A10.13	UniProtKB:Q9Y794
PomBase:SPBP23A10.15c	UniProtKB:Q9P7X1
PomBase:SPBC29A3.01	UniProtKB:O59666
PomBase:SPBC29A3.02c	UniProtKB:O59667
PomBase:SPBC29A3.03c	UniProtKB:O59668
PomBase:SPBC29A3.07c	UniProtKB:O59670
PomBase:SPBC29A3.11c	UniProtKB:O59674
PomBase:SPBC29A3.14c	UniProtKB:O13339
PomBase:SPBC29A3.15c	UniProtKB:O59677
PomBase:SPBC29A3.16	UniProtKB:O59678
PomBase:SPBC29A3.17	UniProtKB:O59679
PomBase:SPBC29A3.18	UniProtKB:O59680
PomBase:SPBC18E5.01	UniProtKB:O59681
PomBase:SPBC18E5.04	UniProtKB:Q09127
PomBase:SPBC18E5.06	UniProtKB:P05764
PomBase:SPBC18E5.08	UniProtKB:O94498
PomBase:SPBC18E5.12c	UniProtKB:O94745
PomBase:SPBC23G7.16	UniProtKB:Q9USV7
PomBase:SPBC23G7.05	UniProtKB:P79060
PomBase:SPBC23G7.08c	UniProtKB:O94466
PomBase:SPBC23G7.09	UniProtKB:C7U331
PomBase:SPBC23G7.09	UniProtKB:P0CY16
PomBase:SPBC23G7.09	UniProtKB:P0CY17
PomBase:SPBC23G7.10c	UniProtKB:O94467
PomBase:SPBC23G7.12c	UniProtKB:P41836
PomBase:SPBC23G7.13c	UniProtKB:O94469
PomBase:SPBC23G7.14	UniProtKB:O94470
PomBase:SPBC23G7.15c	UniProtKB:P17478
PomBase:SPBC1711.02	UniProtKB:C7U331
PomBase:SPBC1711.02	UniProtKB:P0CY16
PomBase:SPBC1711.02	UniProtKB:P0CY17
PomBase:SPBC1711.05	UniProtKB:Q9P785
PomBase:SPBC1711.07	UniProtKB:Q9P783
PomBase:SPBC1711.13	UniProtKB:Q9P777
PomBase:SPBC17G9.02c	UniProtKB:Q9UUE7
PomBase:SPBC17G9.04c	UniProtKB:Q9UUE5
PomBase:SPBC17G9.07	UniProtKB:O59865
PomBase:SPBC17G9.09	UniProtKB:Q09130
PomBase:SPBC17G9.13c	UniProtKB:Q9UUD9
PomBase:SPBC14C8.02	UniProtKB:O60084
PomBase:SPBC14C8.03	UniProtKB:O60085
PomBase:SPBC14C8.04	UniProtKB:O60086
PomBase:SPBC14C8.10	UniProtKB:O60091
PomBase:SPBC14C8.14c	UniProtKB:O60094
PomBase:SPBC14C8.17c	UniProtKB:O60097
PomBase:SPBC15C4.01c	UniProtKB:O60110
PomBase:SPBC15C4.03	UniProtKB:O60112
PomBase:SPBC21H7.02	UniProtKB:O60171
PomBase:SPBC21H7.03c	UniProtKB:O60172
PomBase:SPBC21H7.04	UniProtKB:O60173
PomBase:SPBC21H7.06c	UniProtKB:O60175
PomBase:SPBC21H7.07c	UniProtKB:P40374
PomBase:SPBC16H5.14c	UniProtKB:Q1MTR7
PomBase:SPBC16H5.10c	UniProtKB:Q9USE5
PomBase:SPBC16H5.10c	UniProtKB:O42945
PomBase:SPBC16H5.08c	UniProtKB:O42943
PomBase:SPBC16H5.07c	UniProtKB:P23636
PomBase:SPBC16H5.06	UniProtKB:Q09154
PomBase:SPBC16H5.05c	UniProtKB:O42941
PomBase:SPBC16H5.03c	UniProtKB:O42939
PomBase:SPBC16H5.02	UniProtKB:O42938
PomBase:SPBC12D12.01	UniProtKB:Q9UU40
PomBase:SPBC12D12.01	UniProtKB:Q09825
PomBase:SPBC12D12.07c	UniProtKB:O94504
PomBase:SPBC12D12.08c	UniProtKB:O14399
PomBase:SPBC24C6.04	UniProtKB:O74766
PomBase:SPBC24C6.05	UniProtKB:O74767
PomBase:SPBC24C6.07	UniProtKB:P36589
PomBase:SPBC24C6.09c	UniProtKB:O74770
PomBase:SPBC24C6.10c	UniProtKB:O74771
PomBase:SPBC24C6.11	UniProtKB:O74772
PomBase:SPBC19G7.03c	UniProtKB:O42952
PomBase:SPBC19G7.04	UniProtKB:O42953
PomBase:SPBC19G7.05c	UniProtKB:Q10287
PomBase:SPBC19G7.06	UniProtKB:O42954
PomBase:SPBC19G7.07c	UniProtKB:O42955
PomBase:SPBC19G7.08c	UniProtKB:O42956
PomBase:SPBC19G7.09	UniProtKB:O42957
PomBase:SPBC19G7.13	UniProtKB:Q6E434
PomBase:SPBC19G7.14c	UniProtKB:O42962
PomBase:SPBC19G7.15	UniProtKB:O42963
PomBase:SPBC36B7.04	UniProtKB:Q9HGN6
PomBase:SPBC36B7.05c	UniProtKB:Q9HGN5
PomBase:SPBC36B7.06c	UniProtKB:Q9HGN4
PomBase:SPBC36B7.09	UniProtKB:Q9HGN1
PomBase:SPBC1921.01c	UniProtKB:Q9USX4
PomBase:SPBC1921.03c	UniProtKB:Q9UU47
PomBase:SPBC1921.03c	UniProtKB:Q9Y8G3
PomBase:SPBC21D10.11c	UniProtKB:O74351
PomBase:SPBC21D10.10	UniProtKB:O74350
PomBase:SPBC21D10.06c	UniProtKB:O74346
PomBase:SPBC12C2.12c	UniProtKB:Q09751
PomBase:SPBC12C2.11	UniProtKB:Q09740
PomBase:SPBC12C2.09c	UniProtKB:Q09749
PomBase:SPBC12C2.08	UniProtKB:Q09748
PomBase:SPBC12C2.07c	UniProtKB:Q09741
PomBase:SPBC12C2.05c	UniProtKB:Q09746
PomBase:SPBC12C2.01c	UniProtKB:Q09742
PomBase:SPBC17F3.02	UniProtKB:O75011
PomBase:SPBC17F3.01c	UniProtKB:O74335
PomBase:SPBC557.02c	UniProtKB:Q9USS4
PomBase:SPBC557.03c	UniProtKB:P28745
PomBase:SPBC365.02c	UniProtKB:Q9Y7Y4
PomBase:SPBC365.04c	UniProtKB:Q9Y7Y3
PomBase:SPBC365.05c	UniProtKB:Q9Y7Y2
PomBase:SPBC365.06	UniProtKB:O13351
PomBase:SPBC365.07c	UniProtKB:Q9Y7Y1
PomBase:SPBC365.09c	UniProtKB:Q9Y7X9
PomBase:SPBC365.12c	UniProtKB:Q9Y7X6
PomBase:SPBC365.14c	UniProtKB:Q9Y7X5
PomBase:SPBC365.15	UniProtKB:Q9Y705
PomBase:SPBC29A10.02	UniProtKB:Q2L4W6
PomBase:SPBC29A10.04	UniProtKB:O94383
PomBase:SPBC29A10.05	UniProtKB:P53695
PomBase:SPBC29A10.06c	UniProtKB:O94384
PomBase:SPBC29A10.09c	UniProtKB:O94386
PomBase:SPBC29A10.10c	UniProtKB:O94387
PomBase:SPBC29A10.11c	UniProtKB:D2CFN7
PomBase:SPBC29A10.11c	UniProtKB:O94388
PomBase:SPBC29A10.13	UniProtKB:O94390
PomBase:SPBC29A10.14	UniProtKB:P36626
PomBase:SPBC2G5.01	UniProtKB:O94280
PomBase:SPBC2G5.02c	UniProtKB:O94281
PomBase:SPBC2G5.04c	UniProtKB:O94283
PomBase:SPBC2G5.05	UniProtKB:Q9URM2
PomBase:SPBC25B2.04c	UniProtKB:O74776
PomBase:SPBC25B2.08	UniProtKB:O74780
PomBase:SPBC6B1.02	UniProtKB:O43066
PomBase:SPBC6B1.03c	UniProtKB:O43067
PomBase:SPBC6B1.06c	UniProtKB:Q11119
PomBase:SPBC6B1.07	UniProtKB:Q12381
PomBase:SPBC6B1.12c	UniProtKB:Q7LL15
PomBase:SPBC6B1.10	UniProtKB:O43071
PomBase:SPBC3E7.01	UniProtKB:O59722
PomBase:SPBC3E7.06c	UniProtKB:O59726
PomBase:SPBC3E7.07c	UniProtKB:O59727
PomBase:SPBC3E7.08c	UniProtKB:P28706
PomBase:SPBC3E7.10	UniProtKB:O59730
PomBase:SPBC3E7.12c	UniProtKB:O59732
PomBase:SPBC3E7.14	UniProtKB:O59734
PomBase:SPBC4F6.04	UniProtKB:O74391
PomBase:SPBC4F6.07c	UniProtKB:O74393
PomBase:SPBC4F6.08c	UniProtKB:O74394
PomBase:SPBC4F6.09	UniProtKB:O74395
PomBase:SPBC4F6.10	UniProtKB:D2CFN6
PomBase:SPBC4F6.15c	UniProtKB:Q06182
PomBase:SPBC4F6.16c	UniProtKB:O74401
PomBase:SPBC18A7.02c	UniProtKB:Q9Y7Y9
PomBase:SPBC336.01	UniProtKB:Q9USU3
PomBase:SPBC336.04	UniProtKB:P30316
PomBase:SPBC336.05c	UniProtKB:Q9UST9
PomBase:SPBC336.06c	UniProtKB:Q9UST8
PomBase:SPBC336.08	UniProtKB:Q9UST6
PomBase:SPBC336.09c	UniProtKB:Q9UST5
PomBase:SPBC336.11	UniProtKB:Q9UST3
PomBase:SPBC336.13c	UniProtKB:Q9UST2
PomBase:SPBC336.14c	UniProtKB:Q9UST1
PomBase:SPBC336.15	UniProtKB:Q1MTN3
PomBase:SPBC685.02	UniProtKB:Q9Y7L4
PomBase:SPBC685.03	UniProtKB:Q9Y7L5
PomBase:SPBC685.04c	UniProtKB:Q9Y7L6
PomBase:SPBC685.05	UniProtKB:Q9Y7L7
PomBase:SPBC685.08	UniProtKB:Q9Y7L9
PomBase:SPBC32F12.01c	UniProtKB:O74369
PomBase:SPBC32F12.02	UniProtKB:Q09150
PomBase:SPBC32F12.03c	UniProtKB:O59858
PomBase:SPBC32F12.08c	UniProtKB:O74372
PomBase:SPBC32F12.15	UniProtKB:Q9HDW3
PomBase:SPBC19C7.01	UniProtKB:Q9USW8
PomBase:SPBC19C7.03	UniProtKB:P14605
PomBase:SPBC19C7.04c	UniProtKB:O60153
PomBase:SPBC19C7.05	UniProtKB:O60154
PomBase:SPBC19C7.12c	UniProtKB:O60160
PomBase:SPBP19A11.03c	UniProtKB:P87048
PomBase:SPAP19A11.05c	UniProtKB:Q9HDV5
PomBase:SPBP19A11.06	UniProtKB:Q9HDV4
PomBase:SPBP19A11.07c	UniProtKB:Q9HDV3
PomBase:SPBP4H10.03	UniProtKB:O43092
PomBase:SPBP4H10.06c	UniProtKB:P41003
PomBase:SPBP4H10.11c	UniProtKB:Q9P7D7
PomBase:SPBP4H10.15	UniProtKB:Q9P7D4
PomBase:SPBP4H10.19c	UniProtKB:Q9P7D0
PomBase:SPBC1703.03c	UniProtKB:Q9P7W7
PomBase:SPBC1703.07	UniProtKB:Q9P7W3
PomBase:SPBC1703.08c	UniProtKB:Q9P7W2
PomBase:SPBC1703.09	UniProtKB:Q9P7W1
PomBase:SPBC1703.10	UniProtKB:P11620
PomBase:SPBC1703.11	UniProtKB:Q9P7W0
PomBase:SPBC1703.14c	UniProtKB:P07799
PomBase:SPBC2A9.02	UniProtKB:Q9Y7K4
PomBase:SPBC2A9.03	UniProtKB:Q9Y7K5
PomBase:SPBC2A9.04c	UniProtKB:Q9Y7K6
PomBase:SPBC2A9.05c	UniProtKB:Q9Y7K7
PomBase:SPBC2A9.06c	UniProtKB:Q9Y7K8
PomBase:SPBC2A9.13	UniProtKB:Q9P7Z4
PomBase:SPBC2A9.09	UniProtKB:Q9Y7L1
PomBase:SPBC2A9.11c	UniProtKB:Q1MTP1
PomBase:SPBC2A9.12	UniProtKB:O74796
PomBase:SPBC2D10.03c	UniProtKB:O74797
PomBase:SPBC2D10.05	UniProtKB:O74799
PomBase:SPBC2D10.06	UniProtKB:P40379
PomBase:SPBC2D10.07c	UniProtKB:O74800
PomBase:SPBC2D10.09	UniProtKB:O74802
PomBase:SPBC2D10.10c	UniProtKB:P35551
PomBase:SPBC2D10.12	UniProtKB:O74803
PomBase:SPBC2D10.14c	UniProtKB:O74805
PomBase:SPBC2D10.18	UniProtKB:Q92338
PomBase:SPBC2D10.19c	UniProtKB:O74809
PomBase:SPBC2D10.20	UniProtKB:O74810
PomBase:SPBC15D4.04	UniProtKB:P42881
PomBase:SPBC15D4.05	UniProtKB:O74310
PomBase:SPBC15D4.07c	UniProtKB:O74312
PomBase:SPBC15D4.13c	UniProtKB:A6X982
PomBase:SPBC15D4.15	UniProtKB:Q00472
PomBase:SPBC13E7.01	UniProtKB:Q9P6R9
PomBase:SPBC13E7.02	UniProtKB:Q9P6R8
PomBase:SPBC13E7.03c	UniProtKB:Q9P6R7
PomBase:SPBC13E7.06	UniProtKB:Q9P6R4
PomBase:SPBC13E7.07	UniProtKB:Q9P6R3
PomBase:SPBC13E7.08c	UniProtKB:Q9P6R2
PomBase:SPBC13E7.09	UniProtKB:Q9P6R1
PomBase:SPBC13E7.10c	UniProtKB:Q9P6R0
PomBase:SPBC13E7.11	UniProtKB:O14364
PomBase:SPBC30D10.18c	UniProtKB:O14363
PomBase:SPBC30D10.16	UniProtKB:O14361
PomBase:SPBC30D10.13c	UniProtKB:Q09171
PomBase:SPBC30D10.12c	UniProtKB:O14358
PomBase:SPBC30D10.10c	UniProtKB:O14356
PomBase:SPBC30D10.09c	UniProtKB:O14355
PomBase:SPBC30D10.07c	UniProtKB:O14353
PomBase:SPBC30D10.05c	UniProtKB:O14351
PomBase:SPBC30D10.04	UniProtKB:O14350
PomBase:SPBC30D10.03c	UniProtKB:O14349
PomBase:SPBC1778.01c	UniProtKB:Q9Y7I8
PomBase:SPBC1778.02	UniProtKB:Q96TL7
PomBase:SPBC1778.05c	UniProtKB:Q9Y7J2
PomBase:SPBC1778.06c	UniProtKB:O59945
PomBase:SPBC1778.10c	UniProtKB:Q9Y7J6
PomBase:SPBC4C3.10c	UniProtKB:O43063
PomBase:SPBC4C3.07	UniProtKB:O43060
PomBase:SPBC4C3.06	UniProtKB:O43059
PomBase:SPBC4C3.05c	UniProtKB:P15398
PomBase:SPBC4C3.04c	UniProtKB:O43057
PomBase:SPBC405.02c	UniProtKB:Q9UUM6
PomBase:SPBC405.05	UniProtKB:O94656
PomBase:SPBC405.06	UniProtKB:O94657
PomBase:SPBC405.07	UniProtKB:O94658
PomBase:SPBC609.04	UniProtKB:O94528
PomBase:SPBC609.05	UniProtKB:O94529
PomBase:SPBC776.01	UniProtKB:Q92366
PomBase:SPBC776.03	UniProtKB:O94671
PomBase:SPBC776.08c	UniProtKB:O94676
PomBase:SPBC776.09	UniProtKB:Q09181
PomBase:SPBC776.11	UniProtKB:P57728
PomBase:SPBC776.13	UniProtKB:O94679
PomBase:SPBC776.15c	UniProtKB:O94681
PomBase:SPBC776.18c	UniProtKB:O94684
PomBase:SPBC776.17	UniProtKB:O94683
PomBase:SPBC21.01	UniProtKB:O94643
PomBase:SPBC21.05c	UniProtKB:P15258
PomBase:SPBC19F8.01c	UniProtKB:O60165
PomBase:SPBC19F8.02	UniProtKB:O60166
PomBase:SPBC19F8.03c	UniProtKB:O60167
PomBase:SPBC19F8.06c	UniProtKB:O60170
PomBase:SPBC19F8.08	UniProtKB:O14378
PomBase:SPBC19F8.08	UniProtKB:P87158
PomBase:SPBC25H2.16c	UniProtKB:P87157
PomBase:SPBC25H2.14	UniProtKB:P87155
PomBase:SPBC25H2.13c	UniProtKB:P87154
PomBase:SPBC25H2.12c	UniProtKB:P87153
PomBase:SPBC25H2.11c	UniProtKB:P87152
PomBase:SPBC25H2.09	UniProtKB:P87150
PomBase:SPBC25H2.07	UniProtKB:P55877
PomBase:SPBC25H2.05	UniProtKB:P87147
PomBase:SPBC25H2.03	UniProtKB:P87145
PomBase:SPBC25H2.02	UniProtKB:P87144
PomBase:SPBC20F10.01	UniProtKB:Q06975
PomBase:SPBC20F10.04c	UniProtKB:Q6BDR8
PomBase:SPBC20F10.05	UniProtKB:O42975
PomBase:SPBC20F10.06	UniProtKB:O14417
PomBase:SPBC20F10.09	UniProtKB:O42978
PomBase:SPBC20F10.10	UniProtKB:O42979
PomBase:SPBC17D11.01	UniProtKB:O42980
PomBase:SPBC17D11.04c	UniProtKB:O74759
PomBase:SPBC17D11.05	UniProtKB:O74760
PomBase:SPBC17D11.07c	UniProtKB:O74762
PomBase:SPBC17D11.08	UniProtKB:O74763
PomBase:SPBC17D1.03c	UniProtKB:Q10205
