GENE ID	Gene Name	Synonyms	Gene products
DDB_G0271396	DDB_G0271396		ribonuclease PH family, putative exosome complex exonuclease
DDB_G0271398	mon2		unknown
DDB_G0271400	dcc1	dscc1	DCC1 family protein, sister chromatid cohesion protein Dcc1
DDB_G0271402	DDB_G0271402		LISK family protein kinase, protein kinase, TKL group, tyrosine kinase-like protein
DDB_G0271404	DDB_G0271404		
DDB_G0271406	DDB_G0271406		
DDB_G0271408	DDB_G0271408		
DDB_G0271410	DDB_G0271410		
DDB_G0271412	DDB_G0271412		
DDB_G0271414	DDB_G0271414		
DDB_G0271416	DDB_G0271416		
DDB_G0271418	DDB_G0271418		
DDB_G0271422	DDB_G0271422		Putative transposase.
DDB_G0271424	DDB_G0271424		
DDB_G0271426	DDB_G0271426		
DDB_G0271428	DDB_G0271428		
DDB_G0271430	DDB_G0271430		unknown
DDB_G0271434	DDB_G0271434		
DDB_G0271436	DDB_G0271436		
DDB_G0271438	DDB_G0271438		
DDB_G0271440	DDB_G0271440_RTE	tnpA, tdd4	integrase
DDB_G0271444	DDB_G0271444		
DDB_G0271446	DDB_G0271446		
DDB_G0271448	DDB_G0271448		Multifunctional protein (Fragment).
DDB_G0271450	DDB_G0271450		repetitive element
DDB_G0271452	DDB_G0271452		Multifunctional protein (Fragment).
DDB_G0271454	DDB_G0271454_RTE		gag
DDB_G0271456	DDB_G0271456		Polyprotein.
DDB_G0271458	DDB_G0271458		
DDB_G0271460	DDB_G0271460		
DDB_G0271462	DDB_G0271462		
DDB_G0271464	DDB_G0271464		
DDB_G0271466	DDB_G0271466		
DDB_G0271468	DDB_G0271468		
DDB_G0271470	DDB_G0271470		
DDB_G0271472	DDB_G0271472		
DDB_G0271474	DDB_G0271474		
DDB_G0271476	DDB_G0271476		
DDB_G0271478	DDB_G0271478		
DDB_G0271480	DDB_G0271480		
DDB_G0271482	DDB_G0271482		
DDB_G0271484	DDB_G0271484		
DDB_G0271486	DDB_G0271486		
DDB_G0271488	vta1		unknown
DDB_G0271490	melA		putative alpha-galactosidase, putative melibiase
DDB_G0271500	DG1106		RING zinc finger-containing protein, Kelch repeat-containing protein
DDB_G0271502	lvsD		BEACH domain-containing protein
DDB_G0271504	lvsB		BEACH domain-containing protein
DDB_G0271506	pitrm1		peptidase M16 family protein, pitrilysin metalloprotease
DDB_G0271508	DDB_G0271508		Similar to Dictyostelium discoideum (Slime mold). CIGB protein.
DDB_G0271510	DDB_G0271510		
DDB_G0271512	trmt61		tRNA(m1A58)-methyltransferase subunit, tRNA (adenine-N(1)-)-methyltransferase catalytic subunit
DDB_G0271514	rpc5	rpc37	RNA polymerase III subunit
DDB_G0271516	DDB_G0271516		phosphoesterase, PA-phosphatase related-family protein
DDB_G0271518	DDB_G0271518		
DDB_G0271520	pks5	dipks5, PKS	putative polyketide synthase, beta-ketoacyl synthase family protein
DDB_G0271524	pks6	dipks6, PKS	putative polyketide synthase, beta-ketoacyl synthase family protein
DDB_G0271526	DDB_G0271526		Similar to Dictyostelium discoideum (Slime mold). cGMP-specific phosphodiesterase.
DDB_G0271528	DDB_G0271528		
DDB_G0271530	pks9	dipks9, PKS	putative polyketide synthase, beta-ketoacyl synthase family protein
DDB_G0271532	DDB_G0271532		pyridine nucleotide-disulphide oxidoreductase, NAD-binding region domain-containing protein
DDB_G0271534	DDB_G0271534		
DDB_G0271536	rcnA		modulatory calcineurin-interacting protein
DDB_G0271538	DDB_G0271538		LISK family protein kinase, protein kinase, TKL group, tyrosine kinase-like protein
DDB_G0271540	DDB_G0271540		
DDB_G0271542	DDB_G0271542		
DDB_G0271544	DDB_G0271544		acetyl-CoA C-acetyltransferase, acetoacetyl-CoA thiolase
DDB_G0271546	DDB_G0271546		
DDB_G0271548	DDB_G0271548		
DDB_G0271550	DDB_G0271550		putative protein serine/threonine kinase, putative myosin light chain kinase, CAMK1 family protein kinase, protein kinase, CAMK group, putative CAM kinase
DDB_G0271552	DDB_G0271552		
DDB_G0271554	DDB_G0271554		
DDB_G0271556	tgrJ1		IPT/TIG domain-containing protein
DDB_G0271558	DDB_G0271558		
DDB_G0271560	DDB_G0271560		
DDB_G0271562	orcD	ORC4	origin recognition complex subunit 4
DDB_G0271564	pdhX		putative pyruvate dehydrogenase complex, component X
DDB_G0271568	DDB_G0271568		Multifunctional protein (Fragment).
DDB_G0271570	DDB_G0271570		
DDB_G0271572	exosc10	rrp6	3'-5' exonuclease, exosome component 10
DDB_G0271574	DDB_G0271574		
DDB_G0271576	DDB_G0271576		Pol.
DDB_G0271578	DDB_G0271578		
DDB_G0271580	DDB_G0271580		
DDB_G0271582	DDB_G0271582		
DDB_G0271584	DDB_G0271584		
DDB_G0271586	tgrK1		immunoglobulin E-set domain-containing protein
DDB_G0271588	DDB_G0271588		
DDB_G0271590	omt1		O-methyltransferase family 3 protein
DDB_G0271592	DDB_G0271592		
DDB_G0271594	DDB_G0271594		Similar to Dictyostelium discoideum (Slime mold). cell surface protein DTFA.
DDB_G0271596	DDB_G0271596		Similar to Dictyostelium discoideum (Slime mold). cell surface protein DTFA.
DDB_G0271598	tgrS1		IPT/TIG domain-containing protein, immunoglobulin E-set domain-containing protein
DDB_G0271600	DDB_G0271600		Similar to Dictyostelium discoideum (Slime mold). CIGB protein.
DDB_G0271602	DDB_G0271602		Similar to Dictyostelium discoideum (Slime mold). CIGB protein.
DDB_G0271606	DDB_G0271606		
DDB_G0271608	polZ	rev3, REV3	DNA polymerase zeta catalytic subunit
DDB_G0271610	DDB_G0271610		Similar to Homo sapiens (Human). Myotubularin-related protein 2.
DDB_G0271614	pks7	dipks7, PKS	putative polyketide synthase, beta-ketoacyl synthase family protein
DDB_G0271618	pks8	dipks8, PKS	putative polyketide synthase, beta-ketoacyl synthase family protein
DDB_G0271622	DDB_G0271622_ps		pseudogene
DDB_G0271624	DDB_G0271624		
DDB_G0271626	dotA		SAM domain-containing protein, DOT1 domain-containing protein
DDB_G0271628	dlpC		dynamin like protein
DDB_G0271630	sac1		putative phosphoinositide phosphatase
DDB_G0271632	pus7		tRNA pseudouridine synthase D
DDB_G0271634	DDB_G0271634		Similar to Dictyostelium discoideum (Slime mold). Hypothetical 127.0 kDa protein.
DDB_G0271636	DDB_G0271636		Similar to Homo sapiens (Human). Tenascin (TN) (Hexabrachion) (Cytotactin) (Neuronectin) (GMEM) (JI) (Miotendinous antigen) (Glioma-associated-extracellular matrix antigen) (GP 150-225) (Tenascin-C) (TN-C).
DDB_G0271638	DDB_G0271638		Similar to Dictyostelium discoideum (Slime mold). hypothetical 127.0 kDa protein.
DDB_G0271640	DDB_G0271640		P36417 G-box binding factor (GBF).
DDB_G0271642	cks1		cyclin-dependent kinases regulatory subunit
DDB_G0271644	DDB_G0271644		Similar to Dictyostelium discoideum (Slime mold). LvsD.
DDB_G0271646	tgrK2		immunoglobulin E-set domain-containing protein
DDB_G0271648	DDB_G0271648		
DDB_G0271650	tgrJ_ps1		pseudogene
DDB_G0271652	tgrJ_ps2		pseudogene
DDB_G0271654	tgrK3		immunoglobulin E-set domain-containing protein
DDB_G0271656	DDB_G0271656		unknown
DDB_G0271658	DDB_G0271658		
DDB_G0271660	fmoB		flavin-containing monooxygenase, dimethylaniline monooxygenase [N-oxide-forming]
DDB_G0271662	pks10	dipks10, PKS	putative polyketide synthase, beta-ketoacyl synthase family protein
DDB_G0271664	DDB_G0271664		SPX domain-containing protein, EXS domain-containing protein, SPX/EXS domain-containing protein 1
DDB_G0271666	prtB	M3R	proteosomal alpha-subunit 7-1
DDB_G0271668	rpl36		S60 ribosomal protein L36
DDB_G0271670	DDB_G0271670		Similar to Leishmania major. Ppg3.
DDB_G0271672	DDB_G0271672		ZIP zinc transporter protein, zinc/iron permease
DDB_G0271674	DDB_G0271674		
DDB_G0271676	DDB_G0271676		SH3 domain-containing protein, Cdc15/Fes/CIP4 domain-containing protein
DDB_G0271678	pckA	PCK	phosphoenolpyruvate carboxykinase
DDB_G0271680	DDB_G0271680		zinc-containing alcohol dehydrogenase (ADH)
DDB_G0271682	DDB_G0271682		SMAD/FHA domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ARK family protein kinase
DDB_G0271684	grlA		G-protein-coupled receptor (GPCR) family 3 protein 1
DDB_G0271686	grlB		G-protein-coupled receptor (GPCR) family 3 protein 2
DDB_G0271688	grlO		G-protein-coupled receptor (GPCR) family 3 protein 14
DDB_G0271690	DDB_G0271690		PUTATIVE TFIIF-INTERACTING COMPONENT OF THE C-TERMINAL DOMAIN PHOSPHATASE
DDB_G0271692	comC		EGF-like domain-containing protein
DDB_G0271694	DDB_G0271694		
DDB_G0271696	prtA	M3L	proteosomal alpha-subunit M3
DDB_G0271698	DDB_G0271698		
DDB_G0271700	DDB_G0271700		thioredoxin-like protein
DDB_G0271702	DDB_G0271702		
DDB_G0271704	DDB_G0271704		
DDB_G0271706	tbcA		tubulin folding cofactor A
DDB_G0271708	ddx31		putative RNA helicase, DEAD/DEAH box helicase
DDB_G0271710	DDB_G0271710_ps		pseudogene
DDB_G0271712	DDB_G0271712		coiled-coil family protein, hssA/2C/7E family protein
DDB_G0271714	DDB_G0271714		hssA/2C/7E family protein
DDB_G0271716	DDB_G0271716		hssA/2C/7E family protein
DDB_G0271718	DDB_G0271718		hssA/2C/7E family protein
DDB_G0271720	DDB_G0271720		short-chain dehydrogenase/reductase (SDR) family protein
DDB_G0271722	DDB_G0271722		putative extracellular matrix protein
DDB_G0271724	DDB_G0271724		
DDB_G0271726	DDB_G0271726		Putative Ligase
DDB_G0271728	DDB_G0271728		
DDB_G0271730	DDB_G0271730		
DDB_G0271732	DDB_G0271732		AN1-type zinc finger-containing protein, DNA helicase, single-stranded nucleic acid binding R3H domain-containing protein
DDB_G0271734	rapgap1	rapGAP	RapGAP/RanGAP domain-containing protein
DDB_G0271736	rabC		Rab GTPase
DDB_G0271738	tubC	GCP1	gamma tubulin, tubulin gamma-2 chain
DDB_G0271740	DDB_G0271740		zinc-containing alcohol dehydrogenase (ADH)
DDB_G0271742	DDB_G0271742		UPF0548 family protein
DDB_G0271744	DDB_G0271744		
DDB_G0271746	DDB_G0271746		
DDB_G0271748	DDB_G0271748		Similar to Lactococcus lactis (Subsp. lactis) (Streptococcus lactis). Oxidoreductase.
DDB_G0271750	nfaA	RasGAP, DdNF1	Ras GTPase activation domain-containing protein
DDB_G0271752	DDB_G0271752		NADH:flavin oxidoreductase/NADH oxidase domain-containing protein
DDB_G0271754	DDB_G0271754		Similar to Mus musculus (Mouse). Similar to ash2 (Absent, small, or homeotic)-like (Drosophila).
DDB_G0271756	DDB_G0271756		unknown
DDB_G0271758	rccA		
DDB_G0271760	DDB_G0271760		inositol polyphosphate kinase family protein
DDB_G0271762	DDB_G0271762		
DDB_G0271764	DDB_G0271764		
DDB_G0271766	pARTg	PARP14	U box domain-containing protein, PARP domain-containing protein, Appr-1-p processing domain-containing protein, WWE domain-containing protein
DDB_G0271768	DDB_G0271768		Similar to Dictyostelium discoideum (Slime mold). Putative transcriptional regulator CUDA.
DDB_G0271770	DDB_G0271770		unknown
DDB_G0271772	DDB_G0271772		
DDB_G0271774	uqcrh		ubiquinol-cytochrome-c reductase hinge protein, ubiquinol-cytochrome-c reductase subunit
DDB_G0271776	DDB_G0271776		
DDB_G0271778	CYP516B1		cytochrome P450 family protein
DDB_G0271780	DDB_G0271780		zinc-containing alcohol dehydrogenase (ADH)
DDB_G0271782	DDB_G0271782		
DDB_G0271784	DDB_G0271784		unknown
DDB_G0271786	DDB_G0271786		
DDB_G0271788	wdr57		WD40 repeat-containing protein, putative U5 small nuclear ribonucleoprotein
DDB_G0271790	tmem14B		transmembrane protein 14 B
DDB_G0271792	arrC		ADP-ribosylation factor-related, ARF-related
DDB_G0271794	captA		CDP-alcohol phosphatidyltransferase
DDB_G0271796	DDB_G0271796		pseudouridine synthase family protein
DDB_G0271798	DDB_G0271798		UBP-type zinc finger-containing protein, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)
DDB_G0271800	DDB_G0271800		
DDB_G0271802	DDB_G0271802		Similar to short chain dehydrogenase.
DDB_G0271804	DDB_G0271804		
DDB_G0271806	rapgap3		pleckstrin homology (PH) domain-containing protein, RapGAP/RanGAP domain-containing protein, putative GTPase activating protein (GAP), putative RapGAP
DDB_G0271808	DDB_G0271808		Similar to Dictyostelium discoideum (Slime mold). Hypothetical 127.0 kDa protein.
DDB_G0271810	DDB_G0271810		
DDB_G0271812	DDB_G0271812		SH3 domain-containing protein, FCH domain-containing protein
DDB_G0271814	DDB_G0271814		
DDB_G0271816	DDB_G0271816		
DDB_G0271818	DDB_G0271818		hssA/2C/7E family protein
DDB_G0271820	DDB_G0271820		short-chain dehydrogenase/reductase (SDR) family protein
DDB_G0271822	DDB_G0271822		hssA/2C/7E family protein
DDB_G0271824	DDB_G0271824		hssA/2C/7E family protein
DDB_G0271826	DDB_G0271826		Similar to Plasmodium falciparum (Isolate 3D7). Asparagine-rich protein, putative.
DDB_G0271828	DDB_G0271828		
DDB_G0271830	DDB_G0271830		
DDB_G0271832	DDB_G0271832		
DDB_G0271834	DDB_G0271834		Similar to Orgyia pseudotsugata multicapsid polyhedrosis virus (OpMNPV). hypothetical 29.3 kDa protein (ORF92).
DDB_G0271836	DDB_G0271836		Similar to Bacillus subtilis. hypothetical 39.0 kDa protein in glnQ-ansR intergenic region.
DDB_G0271838	DDB_G0271838		Similar to Dictyostelium discoideum (Slime mold). protein-tyrosine phosphatase 3 (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase 3).
DDB_G0271840	DDB_G0271840		unknown
DDB_G0271842	scsC	SUCLA2	succinate-CoA ligase (ADP-forming), succinyl-CoA synthetase (ADP-forming), ATP-specific succinyl-CoA synthetase beta subunit
DDB_G0271844	DDB_G0271844		Phox domain-containing protein, Rho GTPase domain containing protein, vacuolar sorting protein 9 domain-containing protein
DDB_G0271848	porA		porin
DDB_G0271850	DDB_G0271850		
DDB_G0271852	rtaA		lipid-translocating exporter family protein
DDB_G0271854	DDB_G0271854		HYPOTHETICAL 24.4 KDA PROTEIN
DDB_G0271856	vps52C	VPS52	Vps52 / Sac2 family protein
DDB_G0271858	gmppA	mpgB	GTP:alpha-D-mannose-1-phosphate guanylyltransferase, mannose-1-phosphate guanylyltransferase alpha
DDB_G0271860	DDB_G0271860	PTPase	putative protein tyrosine phosphatase, dual specificity
DDB_G0271862	eif2s1	eIF2A	eukaryotic translation initiation factor 2 (eIF2) subunit 1, eIF-2 alpha
DDB_G0271864	mocs2l		molybdenum cofactor synthesis protein 2 large subunit
DDB_G0271866	DDB_G0271866		enoyl-CoA hydratase/isomerase family protein
DDB_G0271868	gefS	RasGEFS, RasGEF	Ras guanine nucleotide exchange factor
DDB_G0271870	agnC		argonaut-like protein
DDB_G0271872	DDB_G0271872		
DDB_G0271874	DDB_G0271874		
DDB_G0271876	DDB_G0271876		Similar to Dictyostelium discoideum (Slime mold). CIGB protein.
DDB_G0271878	DDB_G0271878		
DDB_G0271880	DDB_G0271880		UPF0183 family protein
DDB_G0271882	vatF		vacuolar H+ ATPase F subunit
DDB_G0271884	DDB_G0271884		putative quinone oxidoreductase, alcohol dehydrogenase
DDB_G0271886	DDB_G0271886		PHD zinc finger-containing protein, bromodomain-containing protein
DDB_G0271888	DDB_G0271888		
DDB_G0271890	DDB_G0271890		BH1308 PROTEIN. 6/101
DDB_G0271892	DDB_G0271892		putative glutathione S-transferase, putative glutathione transferase
DDB_G0271894	DDB_G0271894		
DDB_G0271896	DDB_G0271896	sigN110	unknown
DDB_G0271898	DDB_G0271898		
DDB_G0271900	DDB_G0271900		
DDB_G0271902	pscA		putative peptidase S13, D-Ala-D-Ala carboxypeptidase C, carboxypeptidase
DDB_G0271904	DDB_G0271904		phosphoenolpyruvate carboxykinase (GTP), phosphoenolpyruvate carboxykinase
DDB_G0271906	mgluS	GluRS	glutamate-tRNA ligase, glutamyl-tRNA synthetase, glutamate-tRNA ligase, mitochondrial, glutamyl-tRNA synthetase, mitochondrial
DDB_G0271908	mrrA		transmembrane protein
DDB_G0271910	DDB_G0271910		PUA domain-containing protein, MCTS1 family protein
DDB_G0271912	DDB_G0271912		
DDB_G0271914	DDB_G0271914		CMP/dCMP deaminase, zinc-binding domain-containing protein
DDB_G0271916	rtoA	RatioA	unknown
DDB_G0271918	DDB_G0271918		
DDB_G0271920	DDB_G0271920	sigN122	unknown
DDB_G0271922	mcfI	mftA	mitochondrial substrate carrier family protein
DDB_G0271924	aspA		L-asparaginase I
DDB_G0271926	DDB_G0271926		
DDB_G0271928	DDB_G0271928		
DDB_G0271930	DDB_G0271930		
DDB_G0271932	DDB_G0271932		Polyprotein (Fragment).
DDB_G0271934	DDB_G0271934	sigN132	
DDB_G0271936	DDB_G0271936		
DDB_G0271938	DDB_G0271938		Similar to Dictyostelium discoideum (Slime mold). CIGB protein.
DDB_G0271940	DDB_G0271940		
DDB_G0271942	arl5	arlC	ARF-like protein, ADP-ribosylation factor-like protein
DDB_G0271944	DDB_G0271944		
DDB_G0271946	DDB_G0271946		Similar to Staphylococcus epidermidis ATCC 12228. streptococcal hemagglutinin protein.
DDB_G0271948	DDB_G0271948		YEATS family protein
DDB_G0271950	DDB_G0271950		Similar to Dictyostelium discoideum (Slime mold). CIGB protein.
DDB_G0271952	DDB_G0271952		5'-B-MODULE (Fragment).
DDB_G0271954	DDB_G0271954_RTE		gag
DDB_G0271956	DDB_G0271956		RING zinc finger-containing protein, IBR zinc finger-containing protein
DDB_G0271958	DDB_G0271958		putative glutathione S-transferase
DDB_G0271960	mccB	MCCC2	methylcrotonyl-CoA carboxylase, 3-methylcrotonyl-CoA:carbon dioxide ligase beta subunit
DDB_G0271962	DDB_G0271962		HYPOTHETICAL 54.5 KDA PROTEIN C1685.06 IN CHROMOSOME II. 6/101
DDB_G0271964	DDB_G0271964_ps		pseudogene
DDB_G0271966	DDB_G0271966		poly(ADP-ribose) polymerase, catalytic region domain-containing protein
DDB_G0271968	DDB_G0271968		L-type lectin domain-containing protein, mannose-binding lectin
DDB_G0271970	DDB_G0271970		Amylovoran biosynthesis protein amsF precursor.
DDB_G0271972	DDB_G0271972		
DDB_G0271974	DDB_G0271974		
DDB_G0271976	rpl32		S60 ribosomal protein L32
DDB_G0271978	DDB_G0271978		
DDB_G0271980	rabR		Rab GTPase
DDB_G0271982	DDB_G0271982		
DDB_G0271984	rab5A		Rab GTPase
DDB_G0271986	DDB_G0271986		Similar to Mus musculus (Mouse). similar to CCR4-NOT transcription complex, subunit 3.
DDB_G0271988	DDB_G0271988		
DDB_G0271990	DDB_G0271990		
DDB_G0271992	DDB_G0271992		
DDB_G0271994	DDB_G0271994		
DDB_G0271996	DDB_G0271996		FNIP repeat-containing protein
DDB_G0271998	fsjB	ftsj	rRNA methyltransferase, putative rRNA (uridine-2'-O-)-methyltransferase
DDB_G0272000	DDB_G0272000		LMBR1 LONG FORM
DDB_G0272002	egeA		C2 domain-containing protein
DDB_G0272004	p2xA	DdP2X	P2X receptor, putative purinergic receptor, P2X receptor ATP-gated ion channel
DDB_G0272006	DDB_G0272006		unknown
DDB_G0272010	DDB_G0272010		
DDB_G0272012	DDB_G0272012		GNS1/SUR4 family protein
DDB_G0272014	DDB_G0272014		pyridoxal-phosphate-dependent aminotransferase, putative aromatic amino acid aminotransferase
DDB_G0272016	DDB_G0272016		DCUN1 domain-containing protein
DDB_G0272018	mvk		mevalonate kinase
DDB_G0272020	DDB_G0272020		ankyrin repeat-containing protein, SH2 domain-containing protein, cyclin-like F-box containing protein
DDB_G0272022	rpc34	rpc6	RNA polymerase III subunit
DDB_G0272024	DDB_G0272024		
DDB_G0272026	DDB_G0272026		
DDB_G0272028	DDB_G0272028		Similar to Dictyostelium discoideum (Slime mold). vegetative stage specific V4-7.
DDB_G0272030	DDB_G0272030		
DDB_G0272032	gefG	RasGEFG, RasGEF	Ras guanine nucleotide exchange factor
DDB_G0272034	DDB_G0272034		
DDB_G0272036	rpb10		RNA polymerase N/8 kDa subunit, RNA polymerase II core subunit, RNA polymerase I core subunit, RNA polymerase III core subunit
DDB_G0272038	DDB_G0272038		vacuolar sorting protein 9 domain-containing protein
DDB_G0272040	DDB_G0272040		
DDB_G0272042	DDB_G0272042		
DDB_G0272044	DDB_G0272044		
DDB_G0272046	DDB_G0272046		
DDB_G0272048	DDB_G0272048		
DDB_G0272050	DDB_G0272050		
DDB_G0272052	DDB_G0272052		leucine-rich repeat-containing protein (LRR), putative cell surface glycoprotein
DDB_G0272054	DDB_G0272054		DUF1325 family protein
DDB_G0272056	DDB_G0272056		NOT2/NOT3/NOT5 family protein, putative CCR4-NOT complex subunit 3
DDB_G0272058	DDB_G0272058		unknown
DDB_G0272060	DDB_G0272060		
DDB_G0272062	DDB_G0272062		
DDB_G0272064	DDB_G0272064		
DDB_G0272066	DDB_G0272066		Similar to Dictyostelium discoideum (Slime mold). hypothetical 97.7 kDa protein.
DDB_G0272068	DDB_G0272068		
DDB_G0272070	DDB_G0272070		Similar to Dictyostelium discoideum (Slime mold). prespore-specific protein.
DDB_G0272072	DDB_G0272072		Similar to Dictyostelium discoideum (Slime mold). CIGB protein.
DDB_G0272074	DDB_G0272074		
DDB_G0272076	eif3s6ip		proteasome component region PCI (PINT) domain-containing protein, eukaryotic translation initiation factor 3 (eIF3) subunit 6 interacting protein
DDB_G0272078	eif3s10		proteasome component region PCI (PINT) domain-containing protein, eIF-3 theta, eukaryotic translation initiation factor 3 (eIF3) subunit 10
DDB_G0272080	gacHH	RacGAP	Kelch repeat-containing protein, RhoGAP domain-containing protein
DDB_G0272082	DDB_G0272082		SNF2-related domain-containing protein, C3HC4-type zinc finger-containing protein, CHR group protein, helicase, C-terminal domain-containing protein
DDB_G0272086	DDB_G0272086		
DDB_G0272088	DDB_G0272088		
DDB_G0272090	DDB_G0272090		
DDB_G0272092	DDB_G0272092		ankyrin repeat-containing protein, C2 domain-containing protein, SAM domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ARK family protein kinase
DDB_G0272094	DDB_G0272094		unknown
DDB_G0272096	DDB_G0272096		
DDB_G0272098	DDB_G0272098		
DDB_G0272100	DDB_G0272100		Similar to Dictyostelium discoideum (Slime mold). CIGB protein.
DDB_G0272102	DDB_G0272102		
DDB_G0272104	acpB	cap34, cap-alpha	subunit of heterodimeric actin capping protein cap32/34
DDB_G0272106	arpB	ARP2	actin related protein 2, polyphosphate kinase component, poly P kinase component
DDB_G0272108	DDB_G0272108	DG1074	RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM
DDB_G0272110	gskA	GSK-3, GSK3	glycogen synthase kinase 3, protein serine/threonine kinase, protein kinase, CMGC group, GSK family protein kinase
DDB_G0272112	myoJ	myo5B	myosin-5b
DDB_G0272114	orfR1062	R1062	Similar to Dictyostelium discoideum (Slime mold). R1062 protein.
DDB_G0272116	ppp4c	pppc, PP4C	protein phosphatase 4 catalytic subunit
DDB_G0272118	ppp6c	pppd	protein phosphatase 6 catalytic subunit
DDB_G0272120	rcaA		peptidase M41, FtsH domain-containing protein
DDB_G0272122	DDB_G0272122		
DDB_G0272124	kdelr		ER lumen protein retaining receptor, KDEL endoplasmic reticulum protein retention receptor
DDB_G0272126	DDB_G0272126		
DDB_G0272128	DDB_G0272128		3-hydroxyacyl-CoA dehydrogenase type-2, 17-beta-hydroxysteroid dehydrogenase 10
DDB_G0272130	DDB_G0272130		recoverin family protein
DDB_G0272134	DDB_G0272134		
DDB_G0272136	DDB_G0272136		
DDB_G0272138	rab2B		Rab GTPase
DDB_G0272140	DDB_G0272140		unknown
DDB_G0272142	DDB_G0272142		1110001A02RIK PROTEIN. 6/101
DDB_G0272144	DDB_G0272144		
DDB_G0272146	DDB_G0272146		unknown
DDB_G0272148	DDB_G0272148		
DDB_G0272150	grlJ		G-protein-coupled receptor (GPCR) family 3 protein 9
DDB_G0272152	DDB_G0272152		unknown
DDB_G0272154	DDB_G0272154		short-chain dehydrogenase/reductase (SDR) family protein
DDB_G0272156	DDB_G0272156		
DDB_G0272158	wrnip1		AAA ATPase domain-containing protein, putative Werner helicase-interacting protein 1
DDB_G0272160	DDB_G0272160		
DDB_G0272162	DDB_G0272162		
DDB_G0272164	DDB_G0272164		
DDB_G0272170	gnt8		putative beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, putative glycosyltransferase, putative GlcNAc transferase
DDB_G0272172	gnt6		putative beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, putative glycosyltransferase, putative GlcNAc transferase
DDB_G0272174	DDB_G0272174		
DDB_G0272176	DDB_G0272176		las1-like protein
DDB_G0272178	DDB_G0272178		DUF1715 family protein
DDB_G0272180	DDB_G0272180		
DDB_G0272182	DDB_G0272182		putative arginine deiminase
DDB_G0272184	DDB_G0272184		zinc-containing alcohol dehydrogenase (ADH)
DDB_G0272186	DDB_G0272186		tetratricopeptide-like helical domain-containing protein (TPR), TPR_1 repeat-containing protein
DDB_G0272188	DDB_G0272188		
DDB_G0272190	fam49		FAM49 family protein
DDB_G0272192	DDB_G0272192		
DDB_G0272194	DDB_G0272194		
DDB_G0272196	DDB_G0272196		Similar to B0228.2.p.
DDB_G0272198	DDB_G0272198		
DDB_G0272200	DDB_G0272200		
DDB_G0272202	DDB_G0272202		C2H2-type zinc finger-containing protein, RING zinc finger-containing protein, SPla/RYanodine receptor SPRY domain-containing protein
DDB_G0272204	DDB_G0272204		Fis-type helix-turn-helix domain-containing protein
DDB_G0272206	DDB_G0272206		Similar to Dictyostelium discoideum (Slime mold). Histidine kinase A.
DDB_G0272208	idhC		isocitrate dehydrogenase (NADP+), isocitrate dehydrogenase (NADP+), cytosolic
DDB_G0272210	idhM		isocitrate dehydrogenase (NADP+), isocitrate dehydrogenase (NADP+), mitochondrial
DDB_G0272212	DDB_G0272212		
DDB_G0272214	DDB_G0272214		
DDB_G0272216	aslF		putative acetyl-CoA synthetase
DDB_G0272218	DDB_G0272218		Similar to Dictyostelium discoideum (Slime mold). MigA.
DDB_G0272220	DDB_G0272220		Similar to Dictyostelium discoideum (Slime mold). R1062 protein.
DDB_G0272222	ybl1		YB-like 1, DNA polymerase epsilon p17 subunit 3
DDB_G0272224	DDB_G0272224		NAD+ kinase family protein
DDB_G0272226	DDB_G0272226		
DDB_G0272228	DDB_G0272228	sigN182	hssA/2C/7E family protein
DDB_G0272230	DDB_G0272230		Similar to Protein forms dimers in vivo and in vitro, contains a conserved YPCXXC motif at carboxyl-terminal, binds FAD as a cofactor, and catalyzes the formation of disulfide bonds in protein substrates.; Erv1p.
DDB_G0272232	DDB_G0272232		putative transmembrane protein
DDB_G0272234	pex2		RING zinc finger-containing protein, peroxisomal biogenesis factor 2, peroxin 2
DDB_G0272236	aspS1	aspS, AspRS	aspartyl-tRNA synthetase, aspartate-tRNA ligase
DDB_G0272238	DDB_G0272238		unknown
DDB_G0272240	fscD		G-protein-coupled receptor (GPCR) family protein, frizzled and smoothened-like sans CRD protein
DDB_G0272242	cupI		ricin B lectin domain-containing protein, cup family protein
DDB_G0272244	grlG		G-protein-coupled receptor (GPCR) family 3 protein 7
DDB_G0272246	prsB	PRS	phosphoribosyl pyrophosphate synthetase
DDB_G0272248	act16	actinM6	actin
DDB_G0272250	rps23		40S ribosomal protein S23
DDB_G0272252	DDB_G0272252		
DDB_G0272254	DDB_G0272254		Kelch repeat-containing protein, galactose oxidase domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein
DDB_G0272256	DDB_G0272256		
DDB_G0272258	DDB_G0272258		
DDB_G0272260	sppA		sphingosine-1-phosphate phosphatase, S1P phosphatase
DDB_G0272262	DDB_G0272262		
DDB_G0272264	DDB_G0272264		
