SPCC5E4.05c	UniProtKB:O94305
SPCC962.06c	UniProtKB:O74555
SPCC13B11.01	UniProtKB:P00332
SPAC14C4.05c	UniProtKB:O13712
SPCC965.05c	UniProtKB:O59825
SPBC839.08c	UniProtKB:Q8WZK2
SPBC17D1.04	UniProtKB:Q10204
SPAC1805.01c	UniProtKB:Q9UTH3
SPAC12B10.14c	UniProtKB:Q10447
SPBC651.10	UniProtKB:O94668
SPAPB1A10.11c	UniProtKB:Q9HDX9
SPBC25H2.05	UniProtKB:P87147
SPAC607.07c	UniProtKB:Q9US11
SPCC1620.13	UniProtKB:O94420
SPAC19B12.11c	UniProtKB:Q9P370
SPCC191.01	UniProtKB:O94733
SPAC24C9.04	UniProtKB:O13964
SPCC11E10.09c	UniProtKB:Q10427
SPBC8D2.14c	UniProtKB:O13644
SPCC4F11.03c	UniProtKB:Q9UT68
SPAC1006.05c	UniProtKB:Q9UTR6
SPBPB2B2.08	UniProtKB:Q9HDU7
SPAC140.04	UniProtKB:Q9P7B7
SPBC8D2.12c	UniProtKB:O43075
SPAC9E9.14	UniProtKB:O14296
SPBC1347.04	UniProtKB:O94624
SPAC1687.14c	UniProtKB:O94455
SPAC3F10.05c	UniProtKB:Q10180
SPBC15D4.07c	UniProtKB:O74312
SPBC3B8.09	UniProtKB:O59717
SPCC126.04c	UniProtKB:O94397
SPCC13B11.04c	UniProtKB:O74540
SPAC2F3.10	UniProtKB:O14093
SPAC16E8.13	UniProtKB:O13747
SPAC29B12.11c	UniProtKB:O14032
SPBC20F10.10	UniProtKB:O42979
SPBC800.09	UniProtKB:Q9HGL3
SPBC1778.07	UniProtKB:Q9Y7J3
SPCC290.02	UniProtKB:O94553
SPCC364.06	UniProtKB:O59797
SPAC31F12.01	UniProtKB:O14100
SPBC1709.20	UniProtKB:Q7Z996
SPBC2D10.20	UniProtKB:O74810
SPAC19G12.06c	UniProtKB:P04910
SPBP8B7.10c	UniProtKB:O94259
SPAC607.06c	UniProtKB:Q9US12
SPBP8B7.17c	UniProtKB:O94265
SPCC1620.12c	UniProtKB:O94419
SPBC27B12.12c	UniProtKB:O13657
SPCC550.09	UniProtKB:O59807
SPCC553.07c	UniProtKB:O74944
SPBC1711.07	UniProtKB:Q9P783
SPCC777.11	UniProtKB:O74550
SPCC24B10.10c	UniProtKB:Q9P7J5
SPBC1685.09	UniProtKB:O74329
SPBC215.11c	UniProtKB:O94315
SPAC6F12.11c	UniProtKB:O14229
SPBC211.04c	UniProtKB:P49731
SPAC29E6.02	UniProtKB:Q09856
SPAC22G7.04	UniProtKB:Q09798
SPCC18.11c	UniProtKB:O74861
SPBC14C8.11c	UniProtKB:O60092
SPAC3A11.03	UniProtKB:O14118
SPAC57A10.04	UniProtKB:P87052
SPAC17G8.14c	UniProtKB:P36582
SPBC216.04c	UniProtKB:Q9Y7K1
SPMIT.10	UniProtKB:P21537
SPAC589.10c	UniProtKB:Q9HDZ4
SPBC1711.09c	UniProtKB:Q9P781
SPAC5H10.11	UniProtKB:Q09679
SPBC26H8.12	UniProtKB:O74794
SPAC13C5.04	UniProtKB:Q09686
SPCC1739.01	UniProtKB:O74463
SPAC23C4.16c	UniProtKB:O13934
SPBC713.10	UniProtKB:Q9C1W5
SPBC29A10.11c	UniProtKB:O94388
SPCC962.02c	UniProtKB:O14064
SPAC630.10	UniProtKB:Q9UUH2
SPCC622.01c	UniProtKB:O94591
SPCC285.05	UniProtKB:O74493
SPAC22E12.08	UniProtKB:Q10360
SPBC28E12.04	UniProtKB:O74361
SPAC17G8.06c	UniProtKB:Q10318
SPBC2G2.11	UniProtKB:O43010
SPBC16G5.17	UniProtKB:O60131
SPBC725.08	UniProtKB:O94326
SPBC776.05	UniProtKB:O94673
SPBC119.11c	UniProtKB:P22192
SPCC965.12	UniProtKB:O59832
SPAC11D3.08c	UniProtKB:Q10087
SPAC13G7.05	UniProtKB:Q10269
SPAC30D11.01c	UniProtKB:Q09901
SPAC30D11.04c	UniProtKB:Q09904
SPBC56F2.12	UniProtKB:P78827
SPAC1002.03c	UniProtKB:Q9US55
SPAPB2B4.05	UniProtKB:Q9HDW6
SPBC31F10.15c	UniProtKB:P87316
SPAC22H10.10	UniProtKB:Q10303
SPBC17G9.07	UniProtKB:O59865
SPAC4G9.07	UniProtKB:Q10240
SPAC1F12.03c	UniProtKB:Q10345
SPAC1F12.09	UniProtKB:Q10351
SPAC23H4.03c	UniProtKB:O13946
SPAC2F7.16c	UniProtKB:Q09706
SPAC23C4.17	UniProtKB:O13935
SPCC965.04c	UniProtKB:O59824
SPBC1706.01	UniProtKB:O60132
SPCC569.04	UniProtKB:Q9Y7S3
SPCC777.17c	UniProtKB:Q9P801
SPCC24B10.07	UniProtKB:Q9P7J8
SPCC553.10	UniProtKB:O74947
SPAC15E1.02c	UniProtKB:Q9UTI9
SPBC1921.02	UniProtKB:Q9USX3
SPBC887.13c	UniProtKB:O94297
SPBC713.04c	UniProtKB:Q9C1X1
SPBC16G5.13	UniProtKB:O60127
SPBC365.09c	UniProtKB:Q9Y7X9
SPCC18.01c	UniProtKB:O74851
SPBC14C8.03	UniProtKB:O60085
SPBC2F12.11c	UniProtKB:Q09824
SPBC26H8.06	UniProtKB:O74790
SPBC32H8.06	UniProtKB:Q96WW2
SPBC336.05c	UniProtKB:Q9UST9
SPBC29A3.08	UniProtKB:O59671
SPAC4F10.13c	UniProtKB:O36025
SPAC821.04c	UniProtKB:Q9UT49
SPAC24C9.11	UniProtKB:O13971
SPCC18B5.03	UniProtKB:P07527
SPAC4C5.04	UniProtKB:P79064
SPAC4G9.13c	UniProtKB:Q10243
SPBC11B10.07c	UniProtKB:Q96WW4
SPBC902.03	UniProtKB:Q9USQ0
SPAC13A11.02c	UniProtKB:Q09736
SPAC3F10.18c	UniProtKB:Q9Y710
SPBC23G7.14	UniProtKB:O94470
SPAC959.03c	UniProtKB:Q9P4X3
SPBC23E6.07c	UniProtKB:O60182
SPAC22E12.18	UniProtKB:Q10368
SPBC8D2.04	UniProtKB:P09988
SPAC144.06	UniProtKB:Q9UTL8
SPCC16C4.19	UniProtKB:O94306
SPAC2C4.08	UniProtKB:O14041
SPAP14E8.02	UniProtKB:Q9P7G6
SPAP8A3.12c	UniProtKB:Q9UT05
SPAC17G8.03c	UniProtKB:Q10315
SPBC21C3.13	UniProtKB:P58234
SPCC188.05	UniProtKB:A6X994
SPBC3F6.05	UniProtKB:O43052
SPBC14C8.16c	UniProtKB:O60096
SPAC7D4.10	UniProtKB:O14265
SPCC1281.07c	UniProtKB:O94524
SPBP22H7.06	UniProtKB:Q9C0W1
SPBC28E12.05	UniProtKB:O74362
SPBC8E4.02c	UniProtKB:O42886
SPBC4B4.11	UniProtKB:O74972
SPBC1198.03c	UniProtKB:Q9P6I6
SPAC14C4.12c	UniProtKB:O13719
SPBC577.10	UniProtKB:Q9USQ9
SPBC29A3.21	UniProtKB:Q9C0X0
SPAC4G9.19	UniProtKB:Q10247
SPBC30D10.02	UniProtKB:O14348
SPAC23D3.06c	UniProtKB:Q09847
SPBP16F5.04	UniProtKB:O00102
SPAC19D5.07	UniProtKB:O13837
SPCC1235.05c	UniProtKB:O74842
SPBC660.12c	UniProtKB:O94431
SPAC25H1.09	UniProtKB:O14154
SPBC83.15	UniProtKB:O94698
SPAP7G5.02c	UniProtKB:Q9P772
SPBC800.10c	UniProtKB:Q9HGL2
SPAC4A8.14	UniProtKB:P41831
SPCC4B3.06c	UniProtKB:Q9USJ6
SPBC12D12.05c	UniProtKB:O94502
SPAC8C9.07	UniProtKB:O14276
SPBC1652.01	UniProtKB:Q9P7B0
SPAC19B12.03	UniProtKB:Q9P377
SPCC70.07c	UniProtKB:P36590
SPAC22F8.09	UniProtKB:Q9UUI4
SPAC17A5.02c	UniProtKB:O13765
SPAC5H10.06c	UniProtKB:Q09669
SPBC1709.16c	UniProtKB:O74741
SPCC594.07c	UniProtKB:O74510
SPAC1071.06	UniProtKB:Q9UTQ7
SPCC736.13	UniProtKB:O74959
SPAC13G6.03	UniProtKB:Q09782
SPCC962.05	UniProtKB:O14061
SPBC947.05c	UniProtKB:O94727
SPAPB1A10.14	UniProtKB:Q9HDX6
SPBC887.03c	UniProtKB:O94288
SPCC1235.09	UniProtKB:O74845
SPCC1393.12	UniProtKB:O94724
SPBC428.14	UniProtKB:O94361
SPBC21D10.10	UniProtKB:O74350
SPCC576.11	UniProtKB:O74895
SPBC83.19c	UniProtKB:Q9C0W4
SPAC11D3.13	UniProtKB:Q10092
SPAC1039.07c	UniProtKB:Q9US34
SPCC1183.02	UniProtKB:O74830
SPBC106.19	UniProtKB:Q10340
SPBC106.20	UniProtKB:Q10339
SPBC17D11.08	UniProtKB:O74763
SPAC16.05c	UniProtKB:Q9UTH8
SPAC13F5.02c	UniProtKB:O13701
SPAC3G9.04	UniProtKB:O42868
SPBC1685.02c	UniProtKB:O74322
SPAC3H1.08c	UniProtKB:Q10073
SPCC4G3.12c	UniProtKB:P87237
SPCC622.04	UniProtKB:O94594
SPAC20H4.05c	UniProtKB:Q9HE08
SPBC14F5.01	UniProtKB:O60098
SPCC895.04c	UniProtKB:O94531
SPBC13G1.04c	UniProtKB:O60066
SPBC16A3.10	UniProtKB:O42916
SPAC31G5.12c	UniProtKB:O14109
SPBC13E7.01	UniProtKB:Q9P6R9
SPCC1620.09c	UniProtKB:O94416
SPBC1271.11	UniProtKB:O94344
SPBC24C6.09c	UniProtKB:O74770
SPAC1805.17	UniProtKB:P14068
SPBC1685.16	UniProtKB:Q69Z14
SPCC737.04	UniProtKB:O94245
SPAC23C11.08	UniProtKB:P36611
SPCC330.14c	UniProtKB:O74884
SPBC839.06	UniProtKB:P22189
SPBC12D12.01	UniProtKB:Q09825
SPAC1486.07c	UniProtKB:Q9UTK2
SPAC13F5.05	UniProtKB:O13704
SPAC4G8.02c	UniProtKB:Q09827
SPCC970.04c	UniProtKB:O74558
SPBCPT2R1.08c	UniProtKB:Q1RKN3
SPAC1A6.08c	UniProtKB:O13859
SPBC354.02c	UniProtKB:P79088
SPAC6F6.10c	UniProtKB:O14241
SPAC31G5.10	UniProtKB:O14108
SPAC22H10.13	UniProtKB:Q9UTC0
SPAC27E2.06c	UniProtKB:O14000
SPBC19F8.05	UniProtKB:O60169
SPBC691.05c	UniProtKB:O13621
SPAC29E6.07	UniProtKB:Q09861
SPAC9G1.10c	UniProtKB:O14306
SPCC613.03	UniProtKB:O74903
SPBC83.16c	UniProtKB:O94699
SPAC23H3.15c	UniProtKB:P78890
SPCC594.03	UniProtKB:O74506
SPBC1683.04	UniProtKB:Q9P6J6
SPAC1006.09	UniProtKB:O74304
SPBC19C2.06c	UniProtKB:Q9UUD4
SPCC162.07	UniProtKB:O74423
SPAC23C4.14	UniProtKB:O13933
SPAC26A3.08	UniProtKB:Q10163
SPAC6G9.07c	UniProtKB:Q92352
SPAC1039.03	UniProtKB:Q9US38
SPBC27B12.09c	UniProtKB:O13660
SPAC688.13	UniProtKB:P41890
SPAC23H4.06	UniProtKB:Q09179
SPAC22G7.03	UniProtKB:Q09797
SPAC6F6.08c	UniProtKB:P36618
SPCC13B11.03c	UniProtKB:O94250
SPAC664.13	UniProtKB:Q9US01
SPAC1399.04c	UniProtKB:Q9HE15
SPBC16G5.16	UniProtKB:O60130
SPBC1D7.03	UniProtKB:O14336
SPBC16A3.08c	UniProtKB:O42914
SPBC1861.09	UniProtKB:Q9USX7
SPBC1604.12	UniProtKB:O94378
SPCC320.07c	UniProtKB:O59784
SPBC30D10.16	UniProtKB:O14361
SPAC26A3.12c	UniProtKB:P40848
SPAC24C9.05c	UniProtKB:O13965
SPAC19A8.14	UniProtKB:O13830
SPCC320.08	UniProtKB:O59785
SPBC947.01	UniProtKB:O43078
SPBP8B7.02	UniProtKB:O94252
SPAC869.04	UniProtKB:Q9URY7
SPAC12B10.10	UniProtKB:Q10443
SPBC29A10.03c	UniProtKB:Q1MTN9
SPAPB1A10.06c	UniProtKB:Q9HDY4
SPAC26F1.14c	UniProtKB:Q10499
SPCC63.12c	UniProtKB:Q9Y7T8
SPBC16C6.12c	UniProtKB:O42936
SPAPB8E5.08	UniProtKB:Q9C0X7
SPAPB21F2.02	UniProtKB:Q9C0Z4
SPBC20F10.01	UniProtKB:Q06975
SPAC1783.04c	UniProtKB:Q9UR39
SPAC1002.02	UniProtKB:Q9US56
SPBC26H8.08c	UniProtKB:O74791
SPBC17A3.04c	UniProtKB:Q9UUF2
SPAC1B3.16c	UniProtKB:O13880
SPAC1002.04c	UniProtKB:Q9US54
SPBC14F5.11c	UniProtKB:O60107
SPAC1F8.06	UniProtKB:Q92344
SPBC1604.04	UniProtKB:O94370
SPBC17F3.02	UniProtKB:O75011
SPBC16E9.08	UniProtKB:O14323
SPCC1840.04	UniProtKB:O74477
SPBC1348.07	UniProtKB:Q9P3V3
SPAC25B8.11	UniProtKB:Q9UTA7
SPBC106.02c	UniProtKB:Q9URV9
SPBC4B4.05	UniProtKB:O74966
SPBC14C8.17c	UniProtKB:O60097
SPAC2F3.18c	UniProtKB:Q8NIQ1
SPAC23C4.08	UniProtKB:O13928
SPCC613.08	UniProtKB:O74907
SPBC342.03	UniProtKB:Q9Y7Y7
SPAC15A10.16	UniProtKB:O13735
SPBC11C11.05	UniProtKB:Q10196
SPBC1539.05	UniProtKB:Q9Y7Z4
SPAC17A2.13c	UniProtKB:P42657
SPBC365.08c	UniProtKB:Q9Y7Y0
SPAC5D6.13	UniProtKB:O14205
SPBC18H10.06c	UniProtKB:O60137
SPAC9E9.10c	UniProtKB:O14423
SPAC11D3.18c	UniProtKB:Q10097
SPBC337.12	UniProtKB:O74823
SPCC338.14	UniProtKB:P78825
SPBC1685.12c	UniProtKB:O74332
SPBC32F12.12c	UniProtKB:O74375
SPCC24B10.17	UniProtKB:Q9P7I9
SPCC417.12	UniProtKB:O94493
SPBC216.05	UniProtKB:Q02099
SPBC3E7.02c	UniProtKB:O14368
SPAC6F12.04	UniProtKB:O14223
SPCC777.05	UniProtKB:O74544
SPBC1604.20c	UniProtKB:Q1MTQ1
SPBC646.02	UniProtKB:O94508
SPCC188.13c	UniProtKB:Q09884
SPAC12B10.11	UniProtKB:Q10444
SPBC1685.08	UniProtKB:Q1MTR4
SPCP25A2.03	UniProtKB:Q9URT2
SPAC13G6.10c	UniProtKB:Q09788
SPAC31A2.15c	UniProtKB:Q09732
SPAC732.02c	UniProtKB:Q9URZ7
SPAC3G9.13c	UniProtKB:O42875
SPCC11E10.05c	UniProtKB:Q9USP2
SPBC13G1.02	UniProtKB:O60064
SPAC9E9.15	UniProtKB:O14297
SPBC25B2.05	UniProtKB:O74777
SPAC11H11.04	UniProtKB:Q00619
SPBC16E9.11c	UniProtKB:O14326
SPBC2D10.07c	UniProtKB:O74800
SPBC18H10.10c	UniProtKB:O60141
SPAC22G7.11c	UniProtKB:Q09802
SPCC188.02	UniProtKB:Q10428
SPAC22E12.03c	UniProtKB:Q10356
SPBP4H10.14c	UniProtKB:Q9P7D5
SPAC5D6.08c	UniProtKB:P41005
SPAC9G1.04	UniProtKB:O14300
SPAC23A1.16c	UniProtKB:O42853
SPAC1834.07	UniProtKB:Q9US60
SPAC14C4.04	UniProtKB:O13711
SPAC1556.01c	UniProtKB:Q9UTJ8
SPAC29B12.03	UniProtKB:Q10585
SPCC338.02	UniProtKB:O74981
SPAC29E6.01	UniProtKB:Q09855
SPBC6B1.04	UniProtKB:O43068
SPAC4D7.01c	UniProtKB:Q9UT02
SPBC354.07c	UniProtKB:O43021
SPBC11B10.05c	UniProtKB:O13601
SPAC3A11.06	UniProtKB:O14120
SPAC11E3.01c	UniProtKB:O13682
SPAC2E1P5.05	UniProtKB:Q9P7C0
SPAC30C2.05	UniProtKB:Q9P6K6
SPAC2C4.09	UniProtKB:O14042
SPBC1711.08	UniProtKB:Q9P782
SPAC12G12.13c	UniProtKB:Q9UTN3
SPAC24H6.11c	UniProtKB:Q09764
SPCC13B11.02c	UniProtKB:O94249
SPAC3G6.07	UniProtKB:O14143
SPAC750.02c	UniProtKB:Q9P3E8
SPBC19G7.02	UniProtKB:O42951
SPBC14C8.09c	UniProtKB:O60090
SPAC8C9.12c	UniProtKB:O14281
SPAC24C9.02c	UniProtKB:O13962
SPBC4F6.17c	UniProtKB:O74402
SPAC27D7.02c	UniProtKB:O42657
SPCC1322.04	UniProtKB:P78811
SPBP8B7.05c	UniProtKB:O94255
SPAC18G6.07c	UniProtKB:Q10107
SPCC1450.09c	UniProtKB:Q9Y7N6
SPBP35G2.07	UniProtKB:P36620
SPAC19B12.07c	UniProtKB:Q9P374
SPBC215.01	UniProtKB:O43048
SPAC694.04c	UniProtKB:Q9P7T6
SPAC22H10.06c	UniProtKB:Q10300
SPAC513.05	UniProtKB:Q9UT61
SPAC22G7.05	UniProtKB:Q09799
SPAC6F6.13c	UniProtKB:O14244
SPCC757.12	UniProtKB:O74922
SPAC1142.01	UniProtKB:O13796
SPBC1709.15c	UniProtKB:O74740
SPAC23H4.10c	UniProtKB:P40386
SPCC1739.09c	UniProtKB:O74471
SPAC2G11.05c	UniProtKB:Q09807
SPAC6F12.08c	UniProtKB:O14226
SPAC10F6.09c	UniProtKB:O42649
SPBC16G5.10	UniProtKB:O60124
SPBC2G2.03c	UniProtKB:O43002
SPBC28E12.03	UniProtKB:O74360
SPAC30D11.07	UniProtKB:Q09907
SPCC663.05c	UniProtKB:O74515
SPCPB1C11.03	UniProtKB:Q9C0U9
SPAC29B12.05c	UniProtKB:O14028
SPAC57A7.09	UniProtKB:P87139
SPAC1782.05	UniProtKB:Q9P7H4
SPAC13G7.06	UniProtKB:Q10270
SPAC140.03	UniProtKB:Q9P7B8
SPAC323.05c	UniProtKB:Q9UT94
SPAC644.13c	UniProtKB:Q9P6P8
SPAC23G3.07c	UniProtKB:Q9P7S6
SPAC30D11.02c	UniProtKB:Q09902
SPAC630.11	UniProtKB:Q9UUH1
SPCC1259.07	UniProtKB:O94707
SPAC3A12.18	UniProtKB:O00091
SPCC16C4.06c	UniProtKB:O74451
SPBC21C3.10c	UniProtKB:Q9P7L3
SPCC553.08c	UniProtKB:O74945
SPBC428.02c	UniProtKB:O14370
SPBC23E6.05	UniProtKB:O60180
SPCC622.05	UniProtKB:O94595
SPCC338.06c	UniProtKB:O74984
SPBC18E5.08	UniProtKB:O94498
SPBC776.08c	UniProtKB:O94676
SPAC4G9.08c	UniProtKB:Q10233
SPBC685.09	UniProtKB:Q09142
SPBP4H10.10	UniProtKB:Q9P7D8
SPBP19A11.01	UniProtKB:Q9HDV9
SPBC32H8.05	UniProtKB:Q96WW3
SPBC19G7.13	UniProtKB:Q6E434
SPAC1D4.10	UniProtKB:Q10155
SPAC22G7.01c	UniProtKB:Q09795
SPBC16H5.06	UniProtKB:Q09154
SPBP22H7.07	UniProtKB:O13615
SPBC1347.01c	UniProtKB:O94623
SPAC17A5.01	UniProtKB:O13764
SPBC146.09c	UniProtKB:Q9Y802
SPBC839.07	UniProtKB:Q8WZK3
SPCC737.02c	UniProtKB:O74533
SPBC428.13c	UniProtKB:O94360
SPBC14C8.04	UniProtKB:O60086
SPAC167.03c	UniProtKB:O94538
SPAC1002.11	UniProtKB:Q9US48
SPCC1281.08	UniProtKB:Q96WS1
SPBP23A10.02	UniProtKB:Q9P7Y3
SPBC211.03c	UniProtKB:Q9P7R8
SPBC776.16	UniProtKB:O94682
SPBC16H5.14c	UniProtKB:Q1MTR7
SPCC645.13	UniProtKB:Q9Y7V2
SPAC1F5.07c	UniProtKB:Q10062
SPCC364.05	UniProtKB:O59796
SPBP19A11.02c	UniProtKB:Q9HDV8
SPBC582.09	UniProtKB:Q10333
SPAC13G6.13	UniProtKB:Q09789
SPBC16E9.19	UniProtKB:Q9C0X2
SPBC8E4.03	UniProtKB:O42887
SPAC12B10.16c	UniProtKB:Q10449
SPAC8C9.15c	UniProtKB:P56287
SPAC694.05c	UniProtKB:P79009
SPAC6F6.07c	UniProtKB:P28189
SPAPB2B4.06	UniProtKB:Q9HDW5
SPBC776.10c	UniProtKB:O94677
SPBPB2B2.16c	UniProtKB:Q9P3E8
SPBC947.07	UniProtKB:O43082
SPBPB10D8.01	UniProtKB:Q9C0V8
SPAC6G9.14	UniProtKB:Q92359
SPCC74.09	UniProtKB:O13674
SPAC3H5.10	UniProtKB:P79015
SPAC1093.04c	UniProtKB:Q9UTQ0
SPBC1703.03c	UniProtKB:Q9P7W7
SPAP32A8.02	UniProtKB:Q9C1X5
SPBC3H7.07c	UniProtKB:O74382
SPBC11G11.04	UniProtKB:Q9USZ5
SPBP8B7.16c	UniProtKB:P24782
SPAC4F10.14c	UniProtKB:Q92371
SPBC9B6.08	UniProtKB:Q9USP6
SPBC1539.06	UniProtKB:Q9Y7Z3
SPAC110.04c	UniProtKB:O59838
SPBP8B7.29	UniProtKB:O94277
SPAC343.04c	UniProtKB:Q9UT85
SPCC576.15c	UniProtKB:Q12701
SPAC16.01	UniProtKB:Q10133
SPBC23E6.01c	UniProtKB:O60176
SPBC2G2.04c	UniProtKB:O43003
SPAC18G6.12c	UniProtKB:Q10111
SPAC10F6.02c	UniProtKB:O42643
SPBC31E1.03	UniProtKB:O94650
SPAC9G1.12	UniProtKB:O14307
SPAC644.06c	UniProtKB:P07334
SPAC5D6.07c	UniProtKB:O14200
SPBC31F10.17c	UniProtKB:P87318
SPAC23H3.02c	UniProtKB:Q9UTB8
SPCC1393.11	UniProtKB:O94723
SPAC9.10	UniProtKB:Q9UT18
SPBC3B9.15c	UniProtKB:O43043
SPBC21C3.01c	UniProtKB:P87319
SPAC6F12.15c	UniProtKB:P41889
SPAC11D3.07c	UniProtKB:Q10086
SPAC343.08c	UniProtKB:Q9UT82
SPBC4C3.04c	UniProtKB:O43057
SPBC4C3.03	UniProtKB:O43056
SPBC15D4.13c	UniProtKB:A6X982
SPBC1685.10	UniProtKB:O74330
SPCC16C4.14c	UniProtKB:O74458
SPAC458.07	UniProtKB:Q9P3W1
SPBPB21E7.04c	UniProtKB:Q8NKC1
SPCC1450.06c	UniProtKB:Q9Y7N3
SPAC19B12.12c	UniProtKB:Q9P347
SPCC1183.01	UniProtKB:O75006
SPCC1494.09c	UniProtKB:O60083
SPBC336.07	UniProtKB:Q9UST7
SPAC1D4.09c	UniProtKB:Q10154
SPBC13A2.02	UniProtKB:Q9P382
SPAC1782.10c	UniProtKB:Q9P7H0
SPAC1687.10	UniProtKB:O94452
SPBC16C6.01c	UniProtKB:O42925
SPCC330.12c	UniProtKB:O74882
SPAC1B3.15c	UniProtKB:O13879
SPBC428.11	UniProtKB:O13326
SPAPB17E12.08	UniProtKB:Q8TFH6
SPBC418.01c	UniProtKB:O94303
SPCC70.05c	UniProtKB:O74526
SPCC895.07	UniProtKB:O94534
SPAC6F6.05	UniProtKB:O14238
SPCC1620.07c	UniProtKB:O94414
SPBC1D7.04	UniProtKB:Q09330
SPAC3G9.11c	UniProtKB:O42873
SPBC1198.05	UniProtKB:Q9P6I5
SPBC17D11.05	UniProtKB:O74760
SPAC4G8.08	UniProtKB:Q09834
SPAC3F10.13	UniProtKB:Q10187
SPAC31G5.11	UniProtKB:Q10294
SPBC18E5.10	UniProtKB:O94500
SPAC26H5.02c	UniProtKB:O13984
SPBC19G7.18c	UniProtKB:Q7Z995
SPCC18.17c	UniProtKB:O74867
SPAC14C4.16	UniProtKB:P62505
SPBP4H10.05c	UniProtKB:Q9P7E3
SPBC2A9.09	UniProtKB:Q9Y7L1
SPCC1682.04	UniProtKB:O74435
SPBC428.12c	UniProtKB:O94359
SPBC887.08	UniProtKB:O94293
SPCC962.03c	UniProtKB:O14063
SPAC23C11.09	UniProtKB:O13914
SPBC19C7.11	UniProtKB:O60159
SPAC22E12.14c	UniProtKB:Q10364
SPAC1296.01c	UniProtKB:Q09770
SPBC24C6.05	UniProtKB:O74767
SPAC644.12	UniProtKB:P39964
SPAC17C9.05c	UniProtKB:Q10477
SPCC5E4.10c	UniProtKB:Q9P7Z6
SPAC3G9.03	UniProtKB:O42867
SPBC1734.05c	UniProtKB:O74746
SPBC1A4.05	UniProtKB:O74338
SPBC15C4.05	UniProtKB:O60114
SPCC4G3.08	UniProtKB:Q12706
SPBC2A9.05c	UniProtKB:Q9Y7K7
SPCC1281.01	UniProtKB:Q9USK8
SPAC26F1.07	UniProtKB:Q10494
SPAC17A5.13	UniProtKB:O13774
SPBC12C2.11	UniProtKB:Q09740
SPBC365.06	UniProtKB:O13351
SPAC3H1.10	UniProtKB:Q10075
SPAC186.03	UniProtKB:P87015
SPAC18G6.13	UniProtKB:Q10112
SPAC513.04	UniProtKB:Q9UT62
SPBPB8B6.04c	UniProtKB:Q9C469
SPCC285.15c	UniProtKB:Q10421
SPBC25H2.07	UniProtKB:P55877
SPCC1682.03c	UniProtKB:O74434
SPAC1F8.08	UniProtKB:Q9C113
SPCC18.06c	UniProtKB:O74856
SPBC215.08c	UniProtKB:O94313
SPBC8E4.04	UniProtKB:O42888
SPAC2E12.03c	UniProtKB:Q10227
SPAC24B11.08c	UniProtKB:Q09895
SPCC794.11c	UniProtKB:P78813
SPAC637.05c	UniProtKB:P31411
SPCC584.16c	UniProtKB:Q09890
SPAC4A8.07c	UniProtKB:O14159
SPCC1739.11c	UniProtKB:O74473
SPAC3H8.06	UniProtKB:Q10142
SPBC1683.01	UniProtKB:Q9P6J9
SPAC343.16	UniProtKB:Q9UT74
SPCC16A11.16c	UniProtKB:Q9USM1
SPCC24B10.18	UniProtKB:Q9P7I8
SPAC56F8.08	UniProtKB:Q10256
SPAC1F7.05	UniProtKB:P36602
SPBC4B4.04	UniProtKB:O74965
SPAC23D3.14c	UniProtKB:Q09840
SPBC23E6.04c	UniProtKB:O60179
SPAC3G6.08	UniProtKB:O14144
SPAC1039.02	UniProtKB:Q9US39
SPBC405.07	UniProtKB:O94658
SPAC521.04c	UniProtKB:Q9P7B3
SPAC25A8.03c	UniProtKB:O14138
SPAC1093.05	UniProtKB:Q9UTP9
SPBC2F12.10	UniProtKB:O14341
SPAC3F10.07c	UniProtKB:Q10182
SPAPB1A10.15	UniProtKB:Q9HDX5
SPAC22E12.07	UniProtKB:P41391
SPAC16E8.04c	UniProtKB:O13739
SPCC74.03c	UniProtKB:O74536
SPAC17A5.09c	UniProtKB:O13771
SPCC61.04c	UniProtKB:O94348
SPAC4F8.05c	UniProtKB:O14181
SPCC1672.07	UniProtKB:O14053
SPCC830.06	UniProtKB:Q9UU93
SPCC1183.11	UniProtKB:O74839
SPCC417.09c	UniProtKB:O94490
SPAC1399.01c	UniProtKB:Q9HE12
SPCC794.08	UniProtKB:O59817
SPAC25B8.15c	UniProtKB:Q9UTA5
SPCC622.17	UniProtKB:P50525
SPAC57A10.09c	UniProtKB:P87057
SPCC162.09c	UniProtKB:Q10283
SPBC25B2.08	UniProtKB:O74780
SPBC1271.15c	UniProtKB:O59683
SPCC825.04c	UniProtKB:Q9USH6
SPAC25B8.10	UniProtKB:Q9UTA8
SPBC1271.05c	UniProtKB:O94338
SPAC1F5.08c	UniProtKB:Q10063
SPAC688.14	UniProtKB:Q9P6L2
SPAC1805.08	UniProtKB:Q9UTS6
SPBC1734.07c	UniProtKB:O74748
SPAC19A8.15	UniProtKB:O13831
SPBC4F6.12	UniProtKB:O74398
SPAC1952.16	UniProtKB:Q9UUJ3
SPBC26H8.10	UniProtKB:P37202
SPAC17C9.16c	UniProtKB:Q10487
SPAC22F3.07c	UniProtKB:Q09774
SPCC1827.02c	UniProtKB:O74975
SPCC777.04	UniProtKB:O74543
SPBP23A10.09	UniProtKB:Q9P7X6
SPAC24H6.10c	UniProtKB:Q09755
SPCP1E11.07c	UniProtKB:Q9UU80
SPBC1703.09	UniProtKB:Q9P7W1
