SPAC22H10.13	YOR031W
SPCC1322.09	NONE
SPCC1322.07C	NONE
SPCC1322.05C	YNL045W
SPCC1322.04	YHL012W|YKL035W
SPCC1322.03	NONE
SPCC1322.02	NONE
SPCC1322.01	YMR287C
SPCC132.04C	YDL215C
SPCC132.03	NONE
SPCC132.01C	YPL009C
SPCC1281.08	NONE
SPCC1281.07C	YGR154C|YKR076W|YMR251W
SPCC1281.06C	YGL055W
SPCC1281.04	YPR127W
SPCC1281.03C	YGL231C
SPCC126.13C	NONE
SPCC126.12	YGL221C
SPCC126.11C	NONE
SPCC126.09	YKL175W
SPCC126.08C	NONE
SPCC126.07C	YPR093C
SPCC126.05C	YNL252C
SPCC126.04C	YGL066W
SPCC126.01C	NONE
SPCC1259.12C	YGL227W
SPCC1259.11C	YGR100W
SPCC1259.09C	YGR193C
SPCC1259.08	NONE
SPCC1259.07	YDL076C
SPCC1259.06	YML114C
SPCC1259.04	NONE
SPCC1259.02C	YBR074W
SPCC1235.11	YGL080W
SPCC1235.09	YBR103W
SPCC1235.04C	YDL045C
SPCC1235.03	YKL090W
SPCC1235.01	NONE
SPCC1223.14	YGL148W
SPCC1223.13	NONE
SPCC1223.09	NONE
SPCC1223.07C	YLL018C
SPCC1223.04C	YDR198C
SPCC1223.01	YDR266C
SPCC11E10.09C	NONE
SPCC11E10.07C	YKR026C
SPCC11E10.06C	YPL101W
SPCC11E10.04	YMR282C
SPCC11E10.01	YGL184C
SPCC1183.11	NONE
SPCC1183.07	YMR229C
SPCC1183.04C	YOR017W
SPCC1183.03C	YDL120W
SPCC1183.02	YGR201C|YKL081W|YPL048W
SPCC1020.13C	NONE
SPCC1020.12C	NONE
SPCC1020.11C	YLL014W
SPCC1020.09	NONE
SPCC1020.08	YPL207W
SPCC1020.07	YKL033W-A
SPCC1020.05	YLR361C|YOR137C
SPCC1020.03	YMR177W|YPL224C
SPCC1020.02	YGL093W
SPAC8C9.17C	YKR037C
SPAC56F8.11	YLR066W
SPCC188.04C	YER018C
SPBC336.08	YMR117C
SPCC1223.15C	YDR201W
SPBPJ4664.05	YHR140W
SPBPJ4664.04	YDL145C
SPBPJ4664.02	NONE
SPBPB8B6.06C	YOR390W|YPL279C
SPBPB8B6.05C	YLR155C|YLR157C|YLR158C|YLR160C
SPBPB8B6.03	YDR242W
SPBPB8B6.02C	YHL016C
SPBPB7E8.02	YDR505C|YLR177W
SPBPB7E8.01	NONE
SPBPB2B2.19C	NONE
SPBPB2B2.18	NONE
SPBPB2B2.17C	NONE
SPBPB2B2.16C	NONE
SPBPB2B2.15	YOR387C
SPBPB2B2.14C	NONE
SPBPB2B2.13	YBR020W|YDR009W
SPBPB2B2.12C	YBR019C
SPBPB2B2.11	NONE
SPBPB2B2.10C	YBR018C
SPBPB2B2.09C	YHR063C
SPBPB2B2.08	NONE
SPBPB2B2.07C	NONE
SPBPB2B2.06C	YHR202W
SPBPB2B2.05	NONE
SPBPB2B2.02	YGR263C
SPBPB2B2.01	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YGR191W|YKR039W|YOL020W
SPBPB21E7.10	NONE
SPBPB21E7.09	YLR155C|YLR157C|YLR158C|YLR160C
SPBPB21E7.05	NONE
SPBPB21E7.04C	NONE
SPBPB10D8.07C	YPL092W
SPBPB10D8.06C	YPL092W
SPBPB10D8.05C	YPL092W
SPBPB10D8.04C	YPL092W
SPBPB10D8.02C	NONE
SPBPB10D8.01	YLL055W
SPBP8B7.31	YER134C
SPBP8B7.30C	NONE
SPBP8B7.29	YNR033W
SPBP8B7.28C	NONE
SPBP8B7.27	YJR036C
SPBP8B7.26	NONE
SPBP8B7.23	YLR427W
SPBP8B7.21	YER151C
SPBP8B7.20C	YNL061W
SPBP8B7.19	YGL207W
SPBP8B7.18C	YOL055C|YPL258C|YPR121W
SPBP8B7.17C	YOL055C|YPL258C|YPR121W
SPBP8B7.15C	YKL059C
SPBP8B7.13	NONE
SPBP8B7.10C	YOR078W
SPBP8B7.09C	YKL205W
SPBP8B7.08C	YDR435C
SPBP8B7.05C	YNL036W
SPBP8B7.04	NONE
SPBP8B7.02	NONE
SPBP8B7.01C	NONE
SPBP4H10.19C	NONE
SPBP4H10.18C	NONE
SPBP4H10.17C	YHR075C
SPBP4H10.16C	YOR043W
SPBP4H10.14C	NONE
SPBP4H10.12	YBR137W
SPBP4H10.11C	YIL009W|YMR246W|YOR317W
SPBP4H10.10	NONE
SPBP4H10.07	NONE
SPBP4G3.03	NONE
SPBP35G2.14	YJR091C|YPR042C
SPBP35G2.12	YBR111C
SPBP35G2.11C	NONE
SPBP35G2.09	YLR298C
SPBP35G2.08C	YDL175C|YIL079C
SPBP35G2.04C	NONE
SPBP35G2.02	NONE
SPBP26C9.03C	YMR319C
SPBP23A10.12	NONE
SPBP23A10.11C	YBR162C|YJL171C
SPBP23A10.09	YDR013W
SPBP23A10.06	YGR257C
SPBP23A10.03C	YDR511W
SPBP23A10.02	YMR123W
SPBP22H7.06	YNL129W
SPBP22H7.05C	YGR270W
SPBP22H7.04	NONE
SPBP22H7.03	NONE
SPBP22H7.02C	YPR112C
SPBP19A11.07C	NONE
SPBP19A11.02C	NONE
SPBP19A11.01	YAL044C
SPBP18G5.03	NONE
SPBP18G5.02	YCL004W
SPBP16F5.08C	YHR176W
SPBP16F5.06	YOL144W
SPBP16F5.05C	YPL239W
SPBP16F5.03C	YHR099W
SPBCPT2R1.04C	NONE
SPBCPT2R1.03	NONE
SPBCPT2R1.02	NONE
SPBCPT2R1.01C	NONE
SPBC9B6.11C	YML118W|YMR285C
SPBC9B6.07	YDR087C
SPBC9B6.06	YNL284C
SPBC9B6.03	YGL023C
SPBC947.15C	YDL085W|YML120C|YMR145C
SPBC947.14C	NONE
SPBC947.13	YDR527W
SPBC947.10	YKL034W
SPBC947.09	YDR533C|YMR322C|YOR391C|YPL280W
SPBC947.08C	YBR215W
SPBC947.07	YKL082C
SPBC947.06C	YLL028W
SPBC947.05C	YGL160W|YKL220C|YLL051C|YLR047C|YLR214W|YNR060W|YOL152W|YOR381W|YOR384W
SPBC947.04	NONE
SPBC947.03C	NONE
SPBC902.04	NONE
SPBC902.03	YAL009W
SPBC8E4.05C	NONE
SPBC8E4.04	YDR368W|YOR120W
SPBC8E4.03	NONE
SPBC8E4.02C	NONE
SPBC8E4.01C	YML123C
SPBC8D2.18C	YER043C
SPBC8D2.17	YDR245W|YJL183W
SPBC8D2.16C	YGR283C|YMR310C
SPBC8D2.15	YOR196C
SPBC8D2.13	YIL104C
SPBC8D2.12C	YGR021W
SPBC8D2.11	NONE
SPBC8D2.09C	YIR009W
SPBC8D2.06	YBL076C
SPBC8D2.02C	YOL129W
SPBC887.18C	YPL254W
SPBC887.17	NONE
SPBC887.16	NONE
SPBC887.15C	YDR297W
SPBC887.13C	YER061C
SPBC887.12	YAL026C
SPBC887.09C	NONE
SPBC887.08	NONE
SPBC887.07	YKL170W
SPBC887.03C	YLR002C
SPBC887.02	NONE
SPBC887.01	YMR009W
SPBC839.16	YBR084W|YGR204W
SPBC839.14C	YIL064W
SPBC839.10	YGR013W
SPBC839.09C	YBL090W
SPBC839.03C	YLR128W
SPBC839.02	YJL084C|YKR021W
SPBC83.19C	NONE
SPBC83.18C	YNL152W
SPBC83.17	YOR298C-A
SPBC83.16C	YJL082W|YKR018C
SPBC83.15	YGL111W
SPBC83.13	YMR241W
SPBC83.12	NONE
SPBC83.11	YJL193W|YOR307C
SPBC83.10	NONE
SPBC83.09C	YHR156C
SPBC83.08	YPL235W
SPBC83.06C	YPL183W-A
SPBC83.05	YMR302C
SPBC800.14C	NONE
SPBC800.13	NONE
SPBC800.12C	NONE
SPBC800.11	NONE
SPBC800.10C	YBL047C|YIR006C
SPBC776.17	YCL031C
SPBC776.16	NONE
SPBC776.15C	YDR148C
SPBC776.10C	YNL041C
SPBC776.08C	YGR090W
SPBC776.07	YIL070C
SPBC776.06C	YOR129C
SPBC776.05	YGR149W
SPBC776.03	YJR139C
SPBC725.14	YJL071W
SPBC725.12	NONE
SPBC725.10	NONE
SPBC725.08	NONE
SPBC725.05C	YCR026C|YEL016C
SPBC725.04	YEL020C
SPBC725.03	YGR017W
SPBC725.01	YKL106W
SPBC713.10	YJL104W
SPBC713.09	NONE
SPBC713.07C	YDR452W
SPBC713.06	YDL164C
SPBC713.05	NONE
SPBC713.04C	YCR057C
SPBC713.03	YDL178W|YEL071W
SPBC6B1.12C	YBR111W-A
SPBC6B1.05C	YHR171W
SPBC6B1.03C	YHR097C
SPBC691.05C	YBR086C
SPBC691.04	YDR194C
SPBC691.02C	YGL145W
SPBC691.01	YDR459C|YNL326C
SPBC685.08	NONE
SPBC685.03	NONE
SPBC685.02	YBR163W
SPBC660.17C	NONE
SPBC660.16	YGR256W|YHR183W
SPBC660.15	YOL123W
SPBC660.12C	NONE
SPBC660.10	YJL102W
SPBC660.09	NONE
SPBC660.08	NONE
SPBC660.06	YFL010C
SPBC660.05	YFL010C
SPBC651.12C	NONE
SPBC651.09C	YGL244W
SPBC651.06	NONE
SPBC651.04	NONE
SPBC651.02	YJL126W
SPBC651.01C	YPL093W
SPBC646.16	YGL011C
SPBC646.15C	NONE
SPBC646.10C	YLR197W
SPBC646.08C	YHR001W|YKR003W|YOR237W|YPL145C
SPBC646.07C	YDL015C
SPBC646.03	YMR293C
SPBC609.05	YML069W
SPBC609.03	NONE
SPBC609.01	NONE
SPBC582.10C	YBR114W
SPBC582.08	YDR111C|YLR089C
SPBC582.04C	NONE
SPBC577.15C	NONE
SPBC577.13	YIL002C|YNL106C|YOL065C
SPBC577.12	YLR143W
SPBC577.11	NONE
SPBC577.10	YFR050C
SPBC577.09	YDR030C
SPBC577.08C	NONE
SPBC577.07	YFR005C
SPBC577.06C	YLR305C
SPBC577.04	NONE
SPBC577.03C	NONE
SPBC56F2.14	YMR225C
SPBC56F2.12	YLR355C
SPBC56F2.08C	YJR091C|YPR042C
SPBC56F2.07C	YLR397C
SPBC56F2.06	NONE
SPBC56F2.05C	NONE
SPBC56F2.04	YBL004W
SPBC56F2.03	YDR106W
SPBC557.05	NONE
SPBC557.02C	NONE
SPBC543.10	YGL020C
SPBC543.09	YER017C|YMR089C
SPBC543.08	YDR319C|YGL126W
SPBC543.05C	YNL275W
SPBC543.04	YHL023C
SPBC543.02C	NONE
SPBC530.15C	YLL028W
SPBC530.13	YJL006C
SPBC530.11C	NONE
SPBC530.09C	YPR079W
SPBC530.08	NONE
SPBC530.07C	NONE
SPBC530.06C	YMR012W
SPBC530.05	NONE
SPBC530.02	NONE
SPBC530.01	YOR070C
SPBC4F6.17C	YDR258C
SPBC4F6.14	YPL043W
SPBC4F6.13C	YMR049C
SPBC4F6.12	YKR090W
SPBC4F6.11C	YML096W
SPBC4F6.08C	YML009C
SPBC4F6.07C	YBR142W
SPBC4F6.05C	YFL048C|YLR080W
SPBC4C3.10C	YJL001W
SPBC4C3.09	YOR320C
SPBC4C3.08	YOR320C
SPBC4C3.07	NONE
SPBC4C3.06	YCR030C
SPBC4C3.04C	YPR017C
SPBC4C3.03	YHR025W
SPBC4B4.12C	NONE
SPBC4B4.11	YHR059W
SPBC4B4.07C	YBR119W
SPBC4B4.04	YGR054W
SPBC4B4.02C	YPR155C
SPBC4B4.01C	YDR531W
SPBC428.19C	YMR093W
SPBC428.17C	NONE
SPBC428.15	YGR210C
SPBC428.14	YBR042C|YDR018C
SPBC428.12C	NONE
SPBC428.11	YLR303W
SPBC428.10	NONE
SPBC428.06C	YBR095C
SPBC428.04	NONE
SPBC418.02	YDL040C
SPBC409.19C	YMR060C
SPBC409.18	YDR284C
SPBC409.17C	NONE
SPBC409.16C	NONE
SPBC409.15	YLR435W
SPBC409.14C	YMR188C
SPBC409.13	YOL143C
SPBC409.12C	NONE
SPBC409.08	YGR138C|YPR156C
SPBC409.06	YJR099W
SPBC405.06	YLR090W
SPBC405.05	NONE
SPBC405.03C	YDR438W|YML018C
SPBC405.02C	NONE
SPBC4.06	NONE
SPBC4.03C	YHR098C
SPBC4.02C	YMR265C
SPBC4.01	NONE
SPBC3H7.14	NONE
SPBC3H7.13	YLR238W
SPBC3H7.12	NONE
SPBC3H7.11	YOR239W
SPBC3H7.10	YMR312W
SPBC3H7.08C	NONE
SPBC3H7.07C	YGR208W
SPBC3H7.05C	NONE
SPBC3H7.04	YDR347W|YJR101W
SPBC3H7.03C	YIL125W
SPBC3H7.02	YBR294W|YLR092W
SPBC3F6.04C	YDL148C
SPBC3F6.02C	YGL001C
SPBC3F6.01C	YGR123C
SPBC3E7.13C	YGR129W
SPBC3E7.11C	YER048C|YIR004W
SPBC3E7.09	YOR154W
SPBC3E7.07C	YPL225W
SPBC3E7.06C	YBR293W|YCL069W|YGR224W|YPR198W|YPR198W
SPBC3E7.05C	YKR016W
SPBC3D6.16	NONE
SPBC3D6.13C	YIL005W
SPBC3D6.12	YLR129W
SPBC3D6.08C	YJL124C
SPBC3D6.06C	YBL068W|YER099C|YHL011C|YKL181W|YOL061W
SPBC3D6.03C	YKR079C
SPBC3B9.19	YOR232W
SPBC3B9.14C	YMR024W
SPBC3B9.12	YDR246W
SPBC3B9.09	YLR417W
SPBC3B9.08C	NONE
SPBC3B9.06C	YNR007C
SPBC3B9.05	YKL084W
SPBC3B9.04	YDR316W
SPBC3B9.03	YDR292C
SPBC3B9.01	YBR101C
SPBC3B8.11	NONE
SPBC3B8.10C	YHR004C
SPBC3B8.09	YDL153C
SPBC3B8.08	NONE
SPBC3B8.06	YCR061W|YNL237W
SPBC3B8.05	YIL103W
SPBC3B8.04C	YCR037C|YJL198W|YNR013C
SPBC3B8.03	YNR050C
SPBC3B8.01C	YDR376W
SPBC36B7.08C	YNL246W
SPBC36B7.06C	NONE
SPBC36B7.05C	YDR313C
SPBC36B7.04	YML080W
SPBC36B7.02	NONE
SPBC365.20C	YGL037C
SPBC365.16	NONE
SPBC365.14C	YBR019C
SPBC365.11	NONE
SPBC365.10	YNL059C
SPBC365.09C	YOR077W
SPBC365.08C	YBR201W|YDR411C
SPBC365.07C	YJR134C
SPBC365.04C	YDL213C
SPBC365.01	YLR380W
SPBC36.11	NONE
SPBC36.10	YDR185C|YLR168C
SPBC36.08C	YGR120C
SPBC36.07	YLR384C
SPBC36.06C	NONE
SPBC36.03C	YLL028W
SPBC36.02C	YLL028W
SPBC36.01C	YLL028W
SPBC359.06	NONE
SPBC359.05	YDR135C|YGR281W|YHL035C|YLL015W|YLL048C
SPBC359.04C	NONE
SPBC359.03C	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YGR191W|YKR039W|YOL020W
SPBC359.01	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YGR191W|YKR039W|YOL020W
SPBC354.11C	NONE
SPBC354.10	YKL054C
SPBC354.09C	YJR126C|YOR256C|YPL176C
SPBC354.08C	NONE
SPBC354.07C	YHR001W|YKR003W|YOR237W|YPL145C
SPBC354.06	YPL013C
SPBC354.04	NONE
SPBC342.06C	YLL002W
SPBC342.04	NONE
SPBC342.03	YLR343W|YMR215W|YMR307W|YOL030W|YOL132W
SPBC342.02	YOR168W
SPBC337.12	NONE
SPBC337.11	YMR152W
SPBC337.10C	YKR071C
SPBC337.07C	YHR132C
SPBC337.03	YDR289C
SPBC336.13C	YMR035W
SPBC336.11	YDR484W
SPBC336.05C	NONE
SPBC336.02	YPL266W
SPBC32H8.09	NONE
SPBC32H8.08C	YIL085C|YNL029C
SPBC32H8.06	NONE
SPBC32H8.05	YBL028C
SPBC32H8.04C	YDR339C
SPBC32H8.01C	YER128W
SPBC32F12.15	YDR079C-A
SPBC32F12.12C	YMR071C
SPBC32F12.10	YKL127W|YMR105C
SPBC32F12.07C	NONE
SPBC32F12.01C	YER019W
SPBC31F10.17C	NONE
SPBC31F10.16	YJL099W|YKR027W|YMR237W|YOR299W
SPBC31F10.12	YER007C-A
SPBC31F10.10C	YMR100W
SPBC31F10.07	YCL034W
SPBC31F10.05	NONE
SPBC31F10.03	YER163C
SPBC31F10.02	NONE
SPBC31E1.06	YPL217C
SPBC31E1.01C	YNL242W
SPBC31A8.01C	YDL204W|YDR233C
SPBC30D10.17C	YGR229C
SPBC30D10.16	YNL316C
SPBC30D10.15	YNL124W
SPBC30D10.14	YAL049C
SPBC30D10.12C	YGR215W
SPBC30D10.09C	NONE
SPBC30D10.08	YJR144W
SPBC30D10.07C	YDL141W
SPBC30D10.05C	YIR035C|YIR036C
SPBC30D10.03C	YOR155C
SPBC30D10.02	YDR397C
SPBC30B4.06C	YGL236C
SPBC30B4.03C	YDL233W
SPBC30B4.02C	YNL224C
SPBC2G5.05	YBR117C|YPR074C
SPBC2G5.04C	YAL042W|YML067C
SPBC2G5.03	YGL211W
SPBC2G5.02C	YGL019W|YOR039W
SPBC2G5.01	YNR021W
SPBC2G2.17C	YIL123W|YJL116C|YKR042W|YNL066W
SPBC2G2.16	YER003C
SPBC2G2.15C	YGL136C
SPBC2G2.14	NONE
SPBC2G2.13C	YHR144C
SPBC2G2.12	YPR033C
SPBC2G2.11	YLR195C
SPBC2G2.10C	NONE
SPBC2G2.07C	YPL118W
SPBC2G2.02	YIL002C|YNL106C|YOL065C
SPBC2F12.15C	YDR459C|YNL326C
SPBC2F12.12C	NONE
SPBC2F12.10	YDR322W
SPBC2F12.05C	YAR042W|YDL019C|YHR073W
SPBC2F12.03C	YDR206W|YLR233C
SPBC2F12.02C	YDR237W
SPBC2D10.19C	NONE
SPBC2D10.16	NONE
SPBC2D10.15C	YHR189W
SPBC2D10.09	YDR036C
SPBC2D10.08C	YML025C
SPBC2D10.07C	YMR150C
SPBC2D10.04	YJL084C|YKR021W
SPBC2D10.03C	YCR090C
SPBC2A9.13	NONE
SPBC2A9.11C	YPR045C
SPBC2A9.10	NONE
SPBC2A9.09	YOR281C
SPBC2A9.07C	NONE
SPBC2A9.06C	YDL193W
SPBC2A9.05C	YDR084C
SPBC2A9.04C	YDR143C
SPBC2A9.03	NONE
SPBC2A9.02	YLL056C
SPBC29B5.04C	YNL094W
SPBC29A3.21	NONE
SPBC29A3.16	YOR294W
SPBC29A3.15C	YGL129C
SPBC29A3.13	YLR455W
SPBC29A3.11C	YOR100C|YOR130C
SPBC29A3.09C	YFR009W
SPBC29A3.07C	NONE
SPBC29A3.06	YJL069C
SPBC29A3.05	YML041C
SPBC29A3.03C	YDR255C
SPBC29A3.01	YDR270W
SPBC29A10.16C	YNL111C
SPBC29A10.12	NONE
SPBC29A10.10C	YLR430W
SPBC29A10.09C	NONE
SPBC29A10.08	YLR343W|YMR215W|YMR307W|YOL030W|YOL132W
SPBC29A10.07	YMR129W
SPBC29A10.06C	NONE
SPBC29A10.03C	YPR018W
SPBC29A10.02	NONE
SPBC28F2.11	YDL002C
SPBC28F2.09	YOR194C
SPBC28F2.08C	YLR207W
SPBC28F2.05C	YJR096W
SPBC28E12.06C	YCR032W
SPBC28E12.04	NONE
SPBC28E12.02	YLL032C
SPBC27B12.14	YGR174C
SPBC27B12.12C	YKL064W|YOL130W
SPBC27B12.11C	NONE
SPBC27B12.09C	YIL134W
SPBC27B12.08	YJL207C
SPBC27B12.07	YLR283W
SPBC27B12.05	NONE
SPBC27B12.04C	YNL127W
SPBC27B12.03C	YLR056W
SPBC27B12.02	NONE
SPBC27B12.01C	YLL006W
SPBC27.05	NONE
SPBC27.04	NONE
SPBC27.01C	YNL149C
SPBC26H8.13C	NONE
SPBC26H8.12	YAL039C
SPBC26H8.11C	YBL095W
SPBC26H8.09C	YFL049W
SPBC26H8.05C	YDL047W|YDR075W
SPBC26H8.04C	YJR138W
SPBC25H2.16C	YDR358W|YHR108W
SPBC25H2.15	YOL022C
SPBC25H2.14	YKR030W
SPBC25H2.11C	YBR081C
SPBC25H2.10C	YGL232W
SPBC25H2.09	YFR011C
SPBC25H2.08C	YOR334W|YPL060W
SPBC25H2.06C	YNL263C
SPBC25H2.04C	YDL217C
SPBC25H2.03	YLR386W
SPBC25D12.06	NONE
SPBC25B2.10	NONE
SPBC25B2.09C	YDR341C|YHR091C
SPBC25B2.08	NONE
SPBC25B2.07C	NONE
SPBC25B2.06C	NONE
SPBC25B2.04C	YMR097C
SPBC25B2.03	YMR140W
SPBC25B2.01	YKR084C
SPBC24C6.10C	YDL146W
SPBC24C6.09C	NONE
SPBC24C6.08C	YGR057C
SPBC24C6.04	YHR037W
SPBC24C6.03	YER087W
SPBC24C6.02	YFL002C
SPBC244.02C	YDR449C
SPBC23G7.14	NONE
SPBC23G7.13C	YHL016C
SPBC23G7.11	YER142C
SPBC23G7.10C	NONE
SPBC23G7.07C	YLR003C
SPBC23G7.06C	YPR091C
SPBC23E6.10C	YPR118W
SPBC23E6.06C	YDR487C
SPBC23E6.02	YOR191W
SPBC23E6.01C	YBR212W|YHR086W
SPBC21H7.06C	YOL032W
SPBC21H7.04	YKR024C
SPBC21H7.03C	YAR071W|YBR092C|YBR093C|YDL024C|YHR215W
SPBC21D10.10	NONE
SPBC21D10.09C	YMR247C
SPBC21D10.08C	NONE
SPBC21D10.07	YBL059C-A|YKL137W
SPBC21C3.19	YHR087W
SPBC21C3.17C	YKL077W
SPBC21C3.15C	YHR039C
SPBC21C3.14C	NONE
SPBC21C3.12C	NONE
SPBC21C3.11	YMR067C
SPBC21C3.10C	YBR153W
SPBC21C3.09C	YNL168C
SPBC21C3.08C	YLR438W
SPBC21C3.07C	YOR239W
SPBC21C3.06	NONE
SPBC21C3.04C	YDR115W
SPBC21C3.03	YPL109C
SPBC21C3.02C	NONE
SPBC21B10.13C	NONE
SPBC21B10.09	YBR220C
SPBC21B10.08C	NONE
SPBC21B10.07	YEL040W|YGR189C|YLR213C
SPBC21B10.06C	NONE
SPBC21B10.03C	YGR178C
SPBC21B10.02	NONE
SPBC216.04C	YCL033C
SPBC216.03	YMR090W
SPBC216.01C	YNL201C
SPBC215.13	NONE
SPBC215.11C	NONE
SPBC215.10	NONE
SPBC215.07C	YLR455W
SPBC215.06C	YCR087C-A
SPBC215.01	YGR100W
SPBC211.08C	YGR195W
SPBC211.05	YNL138W-A
SPBC211.03C	YEL022W|YJR031C
SPBC21.03C	NONE
SPBC21.02	YOR118W
SPBC20F10.10	YER059W|YIL050W
SPBC20F10.08C	YMR185W
SPBC20F10.07	YDR326C|YFL043C|YHR080C|YLR072W
SPBC20F10.05	NONE
SPBC20F10.03	NONE
SPBC20F10.02C	NONE
SPBC1E8.05	NONE
SPBC1E8.03C	NONE
SPBC1E8.02	NONE
SPBC1D7.03	YGL215W
SPBC1D7.01	YJL179W
SPBC1A4.11C	NONE
SPBC1A4.09	YOR243C
SPBC1A4.07C	YLL011W
SPBC1A4.06C	YGR046W
SPBC1A4.05	NONE
SPBC1A4.04	NONE
SPBC19G7.18C	NONE
SPBC19G7.17	YBR283C
SPBC19G7.14C	NONE
SPBC19G7.10C	YCR077C
SPBC19G7.08C	NONE
SPBC19G7.07C	YGR150C
SPBC19G7.04	NONE
SPBC19G7.02	YMR289W
SPBC19F8.05	NONE
SPBC19F8.04C	YGL085W
SPBC19F8.03C	YGR241C|YHR161C
SPBC19F8.02	NONE
SPBC19F5.05C	YGR103W
SPBC19F5.04	YER052C
SPBC19F5.03	YKL212W
SPBC19F5.02C	YDR324C
SPBC19C7.12C	YBR199W|YBR205W|YDR483W|YJL139C|YKR061W|YOR099W|YPL053C
SPBC19C7.11	YJR040W
SPBC19C7.10	NONE
SPBC19C7.08C	YOL141W
SPBC19C7.07C	YAR008W
SPBC19C7.06	YHR020W
SPBC19C7.05	YBR005W|YDR003W
SPBC19C7.04C	YMR295C
SPBC19C7.01	NONE
SPBC19C2.15C	YJL097W
SPBC19C2.13C	YNL119W
SPBC19C2.12	YPR100W
SPBC19C2.11C	YGL219C
SPBC19C2.10	NONE
SPBC19C2.08	YGR075C
SPBC19C2.06C	NONE
SPBC19C2.04C	NONE
SPBC1921.07C	YCL010C
SPBC1921.04C	NONE
SPBC18H10.21C	NONE
SPBC18H10.20C	YOR322C
SPBC18H10.19	NONE
SPBC18H10.18C	NONE
SPBC18H10.17C	YKL167C
SPBC18H10.16	YBR235W
SPBC18H10.11C	NONE
SPBC18H10.09	NONE
SPBC18H10.08C	YDR069C|YER144C
SPBC18H10.07	NONE
SPBC18H10.05	YKL121W|YMR102C
SPBC18E5.14C	NONE
SPBC18E5.13	NONE
SPBC18E5.12C	YHR024C
SPBC18E5.10	NONE
SPBC18E5.09C	NONE
SPBC18E5.08	NONE
SPBC18E5.07	NONE
SPBC18E5.05C	YHR187W
SPBC18E5.03C	NONE
SPBC18E5.02C	YMR296C
SPBC18E5.01	NONE
SPBC18A7.02C	YHL017W|YKL039W
SPBC18A7.01	NONE
SPBC1861.08C	YPL213W
SPBC1861.07	YPL046C
SPBC1861.06C	NONE
SPBC1861.05	NONE
SPBC1861.04C	YMR268C
SPBC1861.01C	YKL089W
SPBC1826.01C	YPL082C
SPBC17G9.13C	NONE
SPBC17G9.12C	YCR015C
SPBC17G9.06C	NONE
SPBC17G9.03C	YDR037W
SPBC17G9.02C	YLR418C
SPBC17D11.08	YPL247C
SPBC17D11.04C	YPR031W
SPBC17D11.03C	YJR111C
SPBC17D11.02C	YOL013C
SPBC17D11.01	NONE
SPBC17D1.07C	NONE
SPBC17D1.05	NONE
SPBC17D1.04	NONE
SPBC17D1.03C	YCR035C
SPBC17D1.02	YKL191W
SPBC17D1.01	NONE
SPBC17A3.09C	YJL046W
SPBC17A3.08	YBL055C
SPBC17A3.06	YIR026C
SPBC17A3.05C	NONE
SPBC17A3.04C	YGR264C
SPBC17A3.03C	YNL032W|YNL056W|YNL099C
SPBC17A3.02	YIL087C
SPBC17A3.01C	YPL063W
SPBC1778.09	NONE
SPBC1778.07	YMR209C|YNL092W
SPBC1778.05C	NONE
SPBC1778.03C	YGL067W
SPBC1773.17C	YNL274C
SPBC1773.16C	NONE
SPBC1773.15	YJR152W|YLR004C
SPBC1773.13	YGL202W|YHR137W
SPBC1773.12	NONE
SPBC1773.11C	YCR094W|YNL323W|YNR048W
SPBC1773.10C	YHR019C
SPBC1773.08C	YIL085C|YNL029C
SPBC1773.06C	NONE
SPBC1773.04	YDR541C|YGL039W|YGL157W|YOL151W
SPBC1773.03C	NONE
SPBC1773.02C	YIL010W
SPBC1773.01	YMR029C
SPBC1734.11	YNL064C
SPBC1734.10C	YJR141W
SPBC1734.09	YEL004W
SPBC1734.08	YHL002W
SPBC1734.07C	YDR108W
SPBC1734.04	YEL036C|YML115C|YPL050C
SPBC1734.03	YNL256W
SPBC1734.01C	YDR365C
SPBC1718.04	YBL011W|YKR067W
SPBC1711.16	YLR196W
SPBC1711.15C	NONE
SPBC1711.12	NONE
SPBC1711.11	YJL036W
SPBC1711.09C	YKR088C
SPBC1711.08	YDR214W
SPBC1711.07	YMR131C
SPBC1711.05	YKR092C
SPBC1711.04	YKR080W
SPBC1711.03	YKL207W
SPBC1709.20	YBL018C
SPBC1709.19C	YKL040C
SPBC1709.17	YOR241W
SPBC1709.16C	NONE
SPBC1709.14	YPL096W
SPBC1709.13C	YHL039W|YPL208W
SPBC1709.10C	YNL259C
SPBC1709.09	YHR038W
SPBC1709.07	YLR100W
SPBC1709.06	YNR015W
SPBC1709.03	NONE
SPBC1709.02C	YGR094W
SPBC1706.03	YBR179C
SPBC1703.13C	YER053C|YJR077C
SPBC1703.12	YBL067C|YER098W
SPBC1703.11	NONE
SPBC1703.09	NONE
SPBC1703.08C	YER183C
SPBC1703.07	NONE
SPBC1703.05	YNL207W
SPBC1703.03C	YDL063C
SPBC1703.01C	YBR257W
SPBC16H5.15	NONE
SPBC16H5.14C	YDL114W|YLR426W
SPBC16H5.13	NONE
SPBC16H5.12C	NONE
